GENERO,PG_ICFES
MASCULINO,469.0
MASCULINO,450.0
FEMENINO,460.0
MASCULINO,448.0
FEMENINO,446.0
MASCULINO,457.0
FEMENINO,462.0
FEMENINO,446.0
MASCULINO,426.0
MASCULINO,442.0
MASCULINO,438.0
FEMENINO,434.0
MASCULINO,435.0
FEMENINO,423.0
MASCULINO,439.0
MASCULINO,444.0
MASCULINO,414.0
MASCULINO,421.0
MASCULINO,419.0
FEMENINO,436.0
FEMENINO,424.0
MASCULINO,415.0
MASCULINO,435.0
MASCULINO,435.0
MASCULINO,420.0
FEMENINO,421.0
FEMENINO,440.0
MASCULINO,428.0
MASCULINO,439.0
MASCULINO,427.71
MASCULINO,416.0
MASCULINO,428.0
MASCULINO,433.0
MASCULINO,421.0
FEMENINO,435.0
MASCULINO,422.0
FEMENINO,411.0
MASCULINO,423.0
MASCULINO,424.0
MASCULINO,428.0
MASCULINO,422.0
FEMENINO,432.0
MASCULINO,416.0
MASCULINO,410.0
MASCULINO,428.0
MASCULINO,415.0
MASCULINO,422.0
MASCULINO,414.0
MASCULINO,429.0
MASCULINO,412.0
MASCULINO,412.0
FEMENINO,422.0
FEMENINO,409.0
MASCULINO,422.0
MASCULINO,414.0
FEMENINO,405.0
MASCULINO,421.0
MASCULINO,421.0
MASCULINO,409.0
FEMENINO,410.0
MASCULINO,420.0
MASCULINO,410.0
FEMENINO,419.0
MASCULINO,425.0
MASCULINO,424.0
MASCULINO,402.0
MASCULINO,405.0
MASCULINO,415.0
FEMENINO,406.0
FEMENINO,401.0
MASCULINO,410.0
FEMENINO,404.0
MASCULINO,420.0
FEMENINO,406.0
MASCULINO,395.0
FEMENINO,402.0
FEMENINO,414.0
MASCULINO,403.81
MASCULINO,402.0
FEMENINO,401.0
FEMENINO,409.0
MASCULINO,396.0
MASCULINO,390.0
MASCULINO,398.0
FEMENINO,420.0
FEMENINO,388.0
MASCULINO,394.0
MASCULINO,399.0
MASCULINO,413.0
FEMENINO,391.0
FEMENINO,409.0
MASCULINO,387.0
FEMENINO,409.0
FEMENINO,404.0
MASCULINO,421.0
FEMENINO,390.0
MASCULINO,412.0
FEMENINO,408.0
MASCULINO,404.0
MASCULINO,401.0
MASCULINO,404.0
FEMENINO,418.0
MASCULINO,398.0
MASCULINO,403.0
MASCULINO,419.0
MASCULINO,397.0
FEMENINO,414.0
FEMENINO,411.0
MASCULINO,403.0
MASCULINO,391.0
FEMENINO,418.0
MASCULINO,409.0
MASCULINO,414.0
MASCULINO,422.0
FEMENINO,394.0
FEMENINO,390.0
FEMENINO,401.0
MASCULINO,405.0
MASCULINO,386.0
MASCULINO,375.69
MASCULINO,402.0
MASCULINO,352.0
FEMENINO,365.0
MASCULINO,483.0
MASCULINO,444.0
FEMENINO,457.0
MASCULINO,435.0
MASCULINO,429.2
MASCULINO,422.0
FEMENINO,434.0
MASCULINO,428.0
MASCULINO,447.0
FEMENINO,432.0
FEMENINO,431.0
MASCULINO,419.0
FEMENINO,421.0
FEMENINO,427.0
MASCULINO,400.0
MASCULINO,431.28
MASCULINO,418.0
FEMENINO,431.0
MASCULINO,421.0
FEMENINO,410.0
MASCULINO,412.0
MASCULINO,399.0
MASCULINO,417.0
FEMENINO,412.0
MASCULINO,422.0
MASCULINO,422.0
FEMENINO,395.0
FEMENINO,429.0
MASCULINO,423.0
MASCULINO,427.88
FEMENINO,408.0
FEMENINO,407.3
MASCULINO,434.0
MASCULINO,412.0
MASCULINO,415.0
MASCULINO,409.0
FEMENINO,405.0
MASCULINO,402.0
MASCULINO,416.0
FEMENINO,406.0
MASCULINO,411.0
MASCULINO,405.0
MASCULINO,404.0
MASCULINO,402.0
MASCULINO,408.53
MASCULINO,399.0
FEMENINO,405.0
FEMENINO,398.0
MASCULINO,394.0
MASCULINO,404.0
MASCULINO,416.0
FEMENINO,413.0
MASCULINO,395.0
FEMENINO,402.0
MASCULINO,402.0
MASCULINO,411.0
FEMENINO,414.0
MASCULINO,400.62
MASCULINO,397.0
FEMENINO,401.0
FEMENINO,403.0
MASCULINO,391.0
MASCULINO,412.0
MASCULINO,399.0
FEMENINO,390.0
FEMENINO,399.0
MASCULINO,418.0
MASCULINO,405.0
MASCULINO,409.0
MASCULINO,391.0
MASCULINO,396.0
MASCULINO,384.45
FEMENINO,402.0
MASCULINO,396.0
FEMENINO,387.0
MASCULINO,406.0
MASCULINO,396.0
FEMENINO,402.0
FEMENINO,401.0
MASCULINO,396.0
MASCULINO,405.0
FEMENINO,402.0
FEMENINO,387.0
FEMENINO,408.0
MASCULINO,386.0
MASCULINO,395.0
FEMENINO,404.0
MASCULINO,383.0
MASCULINO,397.0
FEMENINO,410.0
MASCULINO,395.0
MASCULINO,397.0
FEMENINO,396.0
FEMENINO,394.0
MASCULINO,395.12
FEMENINO,389.0
MASCULINO,396.0
FEMENINO,397.0
MASCULINO,395.0
FEMENINO,384.53
MASCULINO,401.0
FEMENINO,396.0
MASCULINO,397.0
MASCULINO,405.0
FEMENINO,386.0
FEMENINO,386.0
MASCULINO,391.0
MASCULINO,390.0
MASCULINO,400.0
MASCULINO,393.0
MASCULINO,403.0
MASCULINO,375.0
FEMENINO,398.0
MASCULINO,382.0
MASCULINO,389.0
FEMENINO,388.0
MASCULINO,385.0
MASCULINO,391.05
MASCULINO,393.0
FEMENINO,389.0
MASCULINO,383.0
MASCULINO,385.0
MASCULINO,402.0
FEMENINO,382.0
MASCULINO,383.0
MASCULINO,387.0
MASCULINO,365.0
MASCULINO,378.0
MASCULINO,387.0
FEMENINO,388.0
FEMENINO,382.0
FEMENINO,414.0
FEMENINO,365.0
MASCULINO,418.0
NO REGISTRA,0.0
FEMENINO,402.0
FEMENINO,392.0
FEMENINO,384.0
MASCULINO,388.0
MASCULINO,360.0
MASCULINO,360.0
MASCULINO,355.0
FEMENINO,368.0
MASCULINO,363.0
MASCULINO,355.0
FEMENINO,358.0
FEMENINO,362.0
MASCULINO,358.0
MASCULINO,350.0
FEMENINO,359.0
MASCULINO,352.0
MASCULINO,348.0
MASCULINO,345.0
MASCULINO,338.0
MASCULINO,352.0
MASCULINO,352.0
MASCULINO,355.0
MASCULINO,350.0
FEMENINO,349.0
MASCULINO,351.0
FEMENINO,348.0
MASCULINO,343.0
MASCULINO,340.0
MASCULINO,341.0
MASCULINO,339.0
FEMENINO,336.0
MASCULINO,339.0
MASCULINO,349.0
MASCULINO,347.0
MASCULINO,337.0
MASCULINO,339.0
MASCULINO,336.0
MASCULINO,337.0
MASCULINO,338.0
FEMENINO,328.0
MASCULINO,341.0
MASCULINO,326.0
MASCULINO,334.0
FEMENINO,332.0
FEMENINO,335.0
MASCULINO,336.0
FEMENINO,342.0
FEMENINO,338.0
FEMENINO,340.0
MASCULINO,330.0
MASCULINO,327.0
MASCULINO,331.0
MASCULINO,321.0
MASCULINO,327.0
MASCULINO,338.0
FEMENINO,331.0
FEMENINO,335.0
MASCULINO,340.0
FEMENINO,333.0
MASCULINO,327.0
MASCULINO,322.0
FEMENINO,338.0
MASCULINO,328.0
MASCULINO,330.0
FEMENINO,335.0
FEMENINO,344.0
MASCULINO,333.0
MASCULINO,323.0
MASCULINO,323.0
MASCULINO,331.0
FEMENINO,337.0
FEMENINO,327.0
MASCULINO,435.0
MASCULINO,442.0
MASCULINO,416.0
MASCULINO,415.0
FEMENINO,431.0
MASCULINO,421.0
FEMENINO,420.0
MASCULINO,415.0
MASCULINO,427.0
MASCULINO,413.0
FEMENINO,415.0
FEMENINO,414.0
MASCULINO,403.0
MASCULINO,419.3
FEMENINO,405.0
MASCULINO,397.42
FEMENINO,397.0
MASCULINO,393.49
MASCULINO,424.0
MASCULINO,401.0
MASCULINO,406.0
MASCULINO,398.0
MASCULINO,401.0
MASCULINO,406.0
MASCULINO,393.0
MASCULINO,408.0
MASCULINO,385.0
MASCULINO,404.0
MASCULINO,403.0
FEMENINO,325.0
MASCULINO,330.0
MASCULINO,308.0
MASCULINO,350.0
MASCULINO,312.0
FEMENINO,323.0
MASCULINO,374.0
MASCULINO,332.0
MASCULINO,320.0
MASCULINO,330.0
FEMENINO,430.0
MASCULINO,325.0
FEMENINO,323.0
MASCULINO,328.0
MASCULINO,320.0
MASCULINO,398.0
FEMENINO,330.0
FEMENINO,322.0
MASCULINO,327.0
MASCULINO,251.5
FEMENINO,325.0
MASCULINO,324.0
MASCULINO,327.0
FEMENINO,331.0
FEMENINO,323.0
MASCULINO,450.0
MASCULINO,389.0
FEMENINO,373.0
MASCULINO,367.0
MASCULINO,383.0
FEMENINO,359.0
MASCULINO,348.0
MASCULINO,351.0
FEMENINO,365.0
FEMENINO,364.0
MASCULINO,357.0
MASCULINO,352.0
MASCULINO,358.0
FEMENINO,341.0
FEMENINO,349.0
FEMENINO,345.0
MASCULINO,343.0
MASCULINO,340.0
MASCULINO,345.0
MASCULINO,339.0
FEMENINO,329.0
FEMENINO,336.0
MASCULINO,351.0
MASCULINO,339.0
FEMENINO,337.0
MASCULINO,334.0
FEMENINO,343.0
MASCULINO,341.0
MASCULINO,340.0
MASCULINO,341.0
FEMENINO,333.0
MASCULINO,343.0
MASCULINO,331.0
FEMENINO,345.0
FEMENINO,332.0
MASCULINO,341.0
MASCULINO,338.0
MASCULINO,324.0
FEMENINO,332.0
MASCULINO,327.0
MASCULINO,326.0
MASCULINO,333.0
MASCULINO,328.0
MASCULINO,330.0
FEMENINO,332.0
MASCULINO,329.0
FEMENINO,328.0
FEMENINO,343.0
MASCULINO,332.0
FEMENINO,336.0
FEMENINO,330.0
MASCULINO,326.0
MASCULINO,319.0
MASCULINO,327.0
MASCULINO,315.0
MASCULINO,327.0
MASCULINO,323.0
FEMENINO,311.0
