CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ASES,VECES_ASES,CREDITOS_ASES,NOTA_TOP,VECES_TOP,CREDITOS_TOP
2,17,17,0,6,6,0,1,1,35.38888889,30,1,3,30,2,3,30,2,3,40,1,2,30,1,3,40,1,3
2,17,17,0,6,6,0,1,1,32.27777778,30,2,3,35,1,3,30,1,3,35,1,2,30,1,3,30,2,3
4,17,17,0,6,6,0,2,3,34,35,2,3,30,1,3,40,3,3,35,1,2,30,2,3,42,3,3
1,17,17,0,6,6,0,1,1,35.5,35,1,3,30,1,3,30,2,3,40,1,2,35,1,3,30,1,3
0,17,3,14,4,1,5,2,3,0,40,1,3,0,0,3,0,0,3,20,1,2,15,1,3,15,1,3
2,17,17,0,6,6,0,1,1,35.05555556,40,1,3,40,2,3,35,2,3,35,1,2,30,1,3,30,1,3
2,17,17,0,6,6,0,1,1,35.05555556,35,1,3,40,2,3,30,2,3,40,1,2,30,1,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
3,17,11,6,6,4,2,2,3,21.625,45,1,3,21,3,3,16,3,3,40,1,2,37,1,3,35,2,3
0,17,14,3,6,5,1,2,3,0,30,1,3,30,1,3,30,1,3,35,1,2,30,1,3,15,1,3
1,17,17,0,6,6,0,1,1,36.5,40,1,3,30,1,3,30,2,3,35,1,2,30,1,3,30,1,3
1,17,17,0,6,6,0,1,1,34.66666667,35,1,3,35,1,3,30,2,3,35,1,2,30,1,3,35,1,3
4,17,8,9,6,3,3,2,3,22.4,29,3,3,30,2,3,10,3,3,35,1,2,5,2,3,30,1,3
0,17,17,0,6,6,0,1,1,31.33333333,40,1,3,35,1,3,30,1,3,40,1,2,35,1,3,30,1,3
1,17,17,0,6,6,0,1,1,34.16666667,44,1,3,36,1,3,30,2,3,35,1,2,38,1,3,30,1,3
3,17,17,0,6,6,0,1,1,36.05555556,45,1,3,42,2,3,30,2,3,40,1,2,35,2,3,35,1,3
2,17,17,0,6,6,0,2,3,34.27777778,32,1,3,33,1,3,31,3,3,35,1,2,30,2,3,30,1,3
1,17,17,0,6,6,0,1,1,34.22222222,30,1,3,30,1,3,30,2,3,45,1,2,30,1,3,35,1,3
4,17,17,0,6,6,0,1,1,36.55555556,35,2,3,30,1,3,35,2,3,40,1,2,40,2,3,35,2,3
1,17,5,12,3,2,4,2,3,20.83333333,4,1,3,0,0,3,0,0,3,33,1,2,0,0,3,34,2,3
0,17,17,0,6,6,0,1,1,33.44444444,30,1,3,35,1,3,30,1,3,40,1,2,35,1,3,30,1,3
2,17,17,0,6,6,0,2,3,35.94444444,40,1,3,35,1,3,32,3,3,40,1,2,30,2,3,35,1,3
2,17,17,0,6,6,0,1,1,37.38888889,35,2,3,30,1,3,50,2,3,30,1,2,30,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,37.05555556,40,1,3,30,1,3,30,1,3,45,1,2,35,2,3,30,1,3
1,17,17,0,6,6,0,1,1,34.55555556,30,1,3,35,2,3,30,1,3,40,1,2,30,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,38.61111111,50,1,3,30,1,3,30,1,3,40,1,2,30,1,3,35,1,3
0,17,17,0,6,6,0,1,1,37.77777778,35,1,3,30,1,3,30,1,3,40,1,2,35,1,3,40,1,3
3,17,17,0,6,6,0,2,3,34.55555556,37,3,3,30,1,3,30,3,3,37,1,2,30,2,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,35.33333333,35,1,3,30,1,3,30,2,3,35,1,2,30,1,3,30,1,3
4,17,17,0,6,6,0,2,3,34,34,4,3,30,2,3,32,2,3,40,1,2,44,4,3,30,1,3
0,17,17,0,6,6,0,1,1,39,40,1,3,45,1,3,35,1,3,40,1,2,35,1,3,45,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,35.38888889,35,1,3,35,2,3,30,1,3,45,1,2,30,1,3,40,1,3
2,17,17,0,6,6,0,1,1,33.61111111,30,1,3,30,1,3,32,2,3,40,1,2,30,2,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,36.94444444,40,1,3,35,1,3,35,1,3,35,1,2,35,1,3,40,1,3
6,17,17,0,6,6,0,2,3,29.55555556,33,4,3,30,5,3,31,5,3,35,2,2,34,3,3,33,3,3
4,17,17,0,6,6,0,2,3,35,45,2,3,34,3,3,30,2,3,35,1,2,35,2,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,37.11111111,45,1,3,30,1,3,35,1,3,40,1,2,35,1,3,40,1,3
2,17,15,2,5,5,1,2,3,21.90909091,30,2,3,30,1,3,47,3,3,0,0,2,36,1,3,31,1,3
1,17,17,0,6,6,0,1,1,33.38888889,45,1,3,30,1,3,30,1,3,35,1,2,30,2,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
2,17,17,0,6,6,0,1,1,35.38888889,40,2,3,30,1,3,30,2,3,40,1,2,30,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
3,17,17,0,6,6,0,1,1,36.61111111,50,1,3,35,2,3,30,2,3,40,1,2,35,2,3,35,1,3
0,17,17,0,6,6,0,1,1,34.83333333,50,1,3,35,1,3,30,1,3,40,1,2,30,1,3,30,1,3
4,17,17,0,6,6,0,2,3,34.05555556,30,2,3,30,2,3,30,3,3,35,1,2,30,2,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,35.27777778,30,1,3,30,1,3,35,2,3,35,1,2,30,1,3,35,1,3
2,17,17,0,6,6,0,1,1,37.11111111,30,1,3,40,2,3,35,2,3,35,1,2,30,1,3,40,1,3
3,17,17,0,6,6,0,2,3,38.16666667,35,2,3,36,3,3,33,2,3,35,1,2,35,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,37.72222222,30,1,3,35,1,3,30,1,3,40,1,2,30,1,3,40,1,3
5,17,11,6,6,4,2,2,3,32.16666667,25,4,3,30,2,3,26,3,3,35,1,2,31,3,3,40,2,3
0,17,17,0,6,6,0,1,1,34.38888889,30,1,3,30,1,3,30,1,3,35,1,2,30,1,3,40,1,3
2,17,17,0,6,6,0,2,3,33.72222222,30,2,3,33,3,3,30,1,3,35,1,2,30,1,3,30,1,3
