CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA
1,20,17,3,8,7,1,1,24.73684211,35,1,4,35,1,3,40,1,1,35,1,2,50,1,1,35,2,3,30,1,3
2,27,17,10,10,7,3,2,13.3,35,2,4,30,1,3,35,1,1,40,1,2,50,1,1,45,3,3,30,1,3
0,17,17,0,7,7,0,1,39.0625,30,1,4,40,1,3,45,1,1,50,1,2,45,1,1,45,1,3,35,1,3
0,17,17,0,7,7,0,1,35.9375,35,1,4,30,1,3,40,1,1,50,1,2,40,1,1,45,1,3,35,1,3
0,17,17,0,7,7,0,1,0,30,1,4,45,1,3,45,1,1,45,1,2,45,1,1,45,1,3,40,1,3
1,25,17,8,9,7,2,2,19.82142857,35,3,4,30,1,3,40,1,1,40,1,2,40,1,1,45,1,3,30,1,3
0,17,17,0,7,7,0,1,29.6875,30,1,4,40,1,3,35,1,1,35,1,2,50,1,1,30,1,3,30,1,3
2,24,17,7,9,7,2,2,19.92,35,2,4,30,1,3,40,1,1,45,1,2,50,1,1,30,1,3,30,2,3
0,17,7,10,7,4,3,2,0,20,1,4,40,1,3,40,1,1,45,1,2,50,1,1,15,1,3,20,1,3
0,17,17,0,7,7,0,1,27.5,35,1,4,45,1,3,40,1,1,45,1,2,40,1,1,45,1,3,40,1,3
0,17,12,5,7,5,2,1,0,25,1,4,40,1,3,40,1,1,40,1,2,20,1,1,45,1,3,30,1,3
3,27,11,16,10,5,5,2,0,30,2,4,25,2,3,40,1,1,30,1,2,50,1,1,30,1,3,25,2,3
0,17,13,4,7,6,1,1,0,25,1,4,35,1,3,35,1,1,45,1,2,40,1,1,45,1,3,35,1,3
0,17,17,0,7,7,0,1,21.8,30,1,4,40,1,3,40,1,1,45,1,2,40,1,1,45,1,3,30,1,3
2,24,17,7,9,7,2,2,29.21052632,40,2,4,30,1,3,40,1,1,40,1,2,50,1,1,30,2,3,30,1,3
2,24,17,7,9,7,2,2,16.03125,30,2,4,30,1,3,35,1,1,35,1,2,50,1,1,30,2,3,30,1,3
0,17,2,15,7,2,5,2,0,20,1,4,20,1,3,35,1,1,25,1,2,50,1,1,25,1,3,25,1,3
2,24,17,7,9,7,2,2,36.0625,35,2,4,30,2,3,40,1,1,45,1,2,50,1,1,30,1,3,30,1,3
1,21,17,4,8,7,1,1,24.68181818,40,2,4,40,1,3,40,1,1,45,1,2,50,1,1,30,1,3,35,1,3
0,17,17,0,7,7,0,1,23.52,30,1,4,40,1,3,40,1,1,40,1,2,40,1,1,40,1,3,35,1,3
0,17,17,0,7,7,0,1,25.22727273,30,1,4,45,1,3,35,1,1,45,1,2,40,1,1,40,1,3,35,1,3
3,40,11,29,14,5,9,2,0,30,3,4,25,4,3,30,1,1,30,1,2,50,1,1,23,3,3,30,1,3
0,17,1,16,7,1,6,2,0,15,1,4,15,1,3,15,1,1,15,1,2,50,1,1,15,1,3,15,1,3
1,21,17,4,8,7,1,2,14.45945946,30,2,4,40,1,3,40,1,1,35,1,2,40,1,1,45,1,3,30,1,3
1,21,17,4,8,7,1,1,15.05405405,30,2,4,40,1,3,40,1,1,40,1,2,40,1,1,45,1,3,35,1,3
0,17,14,3,7,6,1,1,0,30,1,4,30,1,3,40,1,1,35,1,2,50,1,1,30,1,3,25,1,3
0,17,17,0,7,7,0,1,34.21052632,40,1,4,30,1,3,40,1,1,40,1,2,50,1,1,35,1,3,30,1,3
2,24,17,7,9,7,2,2,8.537037037,30,2,4,40,1,3,30,1,1,40,1,2,35,1,1,40,1,3,30,2,3
0,17,17,0,7,7,0,1,0,30,1,4,40,1,3,30,1,1,50,1,2,40,1,1,45,1,3,30,1,3
2,24,17,7,9,7,2,2,26.63636364,40,2,4,30,1,3,35,1,1,50,1,2,50,1,1,30,2,3,30,1,3
0,17,1,16,7,1,6,2,0,15,1,4,15,1,3,15,1,1,15,1,2,50,1,1,15,1,3,15,1,3
0,17,17,0,7,7,0,1,35.625,30,1,4,35,1,3,45,1,1,50,1,2,50,1,1,40,1,3,30,1,3
1,20,17,3,8,7,1,1,25.90909091,35,1,4,45,1,3,40,1,1,45,1,2,45,1,1,45,1,3,30,2,3
0,17,17,0,7,7,0,1,0,30,1,4,40,1,3,40,1,1,45,1,2,45,1,1,45,1,3,30,1,3
0,17,17,0,7,7,0,1,36.15384615,40,1,4,40,1,3,35,1,1,45,1,2,45,1,1,45,1,3,35,1,3
