CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_EE_TRES,VECES_EE_TRES,CREDITOS_EE_TRES,NOTA_COMANA,VECES_COMANA,CREDITOS_COMANA,NOTA_MOYGE,VECES_COYGE,CREDITOS_COYGE,NOTA_DDM,VECES_DDM,CREDITOS_DDM,NOTAS_SYS,VECES_SYS,CREDITOS_SYS,NOTA_CCON,VECES_CCON,CREDITOS_CCON
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,14,2,6,6,0,1,30.1,0,0,2,49,1,2,32,1,3,40,1,3,40,1,3,44,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,6,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,30,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,42,1,1
3,16,5,11,6,3,3,2,31,0,0,2,49,1,2,29,2,3,28.5,2,3,16.5,2,3,48,1,2,40,1,1
0,16,1,15,1,1,0,2,5.53333E+14,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,35,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,12,4,5,5,0,1,38,0,0,2,0,1,2,44,1,3,44,1,3,50,1,3,35,1,2,45,1,1
0,16,3,13,5,5,0,2,9.73333E+14,0,0,2,0,1,2,25,1,3,17,1,3,21,1,3,30,1,2,40,1,1
0,16,12,4,5,5,0,1,31.5,0,0,2,0,1,2,35,1,3,45,1,3,50,1,3,37,1,2,40,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
2,16,12,4,6,4,2,1,2.51333E+14,0,0,2,50,1,2,30,2,3,36,1,3,35,1,3,25.66666667,3,2,38,1,1
1,16,14,2,6,5,1,1,32,0,0,2,50,1,2,30,2,3,35,1,3,34,1,3,30,1,2,41,1,1
2,16,12,4,5,3,2,1,33,0,0,2,0,1,2,32,2,3,34.5,2,3,39,1,3,44,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,14,2,6,6,0,1,38.2,0,0,2,49,1,2,39,1,3,43,1,3,39,1,3,50,1,2,40,1,1
0,16,1,15,1,1,0,2,3.33333E+14,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,39,1,1
0,16,14,2,6,6,0,1,33.6,0,0,2,47,1,2,30,1,3,35,1,3,43,1,3,35,1,2,40,1,1
0,16,14,2,6,6,0,1,30.2,0,0,2,50,1,2,38,1,3,42,1,3,43,1,3,31,1,2,45,1,1
0,16,1,15,2,2,0,2,6.1,0,0,2,15,1,2,0,0,3,0,0,3,0,0,3,0,0,2,35,1,1
1,16,11,5,6,5,1,1,34.4,0,0,2,40,1,2,26,2,3,30,1,3,30,1,3,50,1,2,40,1,1
2,16,6,10,5,3,2,2,1.05333E+14,0,0,2,0,1,2,14,3,3,43,1,3,9,2,3,38,1,2,30,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
0,16,1,15,1,1,0,2,6.4,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,38,1,1
0,16,14,2,6,6,0,1,36.6,0,0,2,50,1,2,35,1,3,35,1,3,45,1,3,35,1,2,50,1,1
1,16,6,10,4,3,1,2,18.8,0,0,2,0,1,2,31,1,3,0,0,3,25,2,3,34,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,11,5,6,5,1,1,35,0,0,2,46,1,2,29.5,2,3,35,1,3,42,1,3,46,1,2,40,1,1
0,16,14,2,6,6,0,1,33.4,0,0,2,50,1,2,30,1,3,35,1,3,30,1,3,40,1,2,45,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,35,1,1
1,16,11,5,6,5,1,1,2.94333E+14,0,0,2,45,1,2,30,1,3,41,1,3,28.5,2,3,30,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,14,2,6,6,0,1,36,0,0,2,50,1,2,30,1,3,35,1,3,35,1,3,40,1,2,40,1,1
0,0,0,0,0,0,0,0,6,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
0,16,12,4,5,5,0,1,42,0,0,2,0,1,2,35,1,3,44,1,3,48,1,3,50,1,2,40,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
2,16,8,8,6,4,2,1,32.2,0,0,2,35,1,2,27,2,3,27.5,2,3,36,1,3,48,1,2,40,1,1
2,16,6,10,5,3,2,2,31.25,0,0,2,0,1,2,25.5,2,3,40,1,3,25,2,3,30,1,2,45,1,1
0,16,14,2,6,6,0,1,42,0,0,2,50,1,2,40,1,3,35,1,3,30,1,3,40,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
2,16,12,4,6,4,2,1,3.09333E+14,0,0,2,40,1,2,30,1,3,43,1,3,30.5,2,3,29.5,2,2,40,1,1
0,16,14,2,6,6,0,1,34.4,0,0,2,48,1,2,39,1,3,37,1,3,42,1,3,39,1,2,40,1,1
1,16,11,5,6,5,1,1,33,0,0,2,50,1,2,28.5,2,3,31,1,3,35,1,3,45,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,45,1,1
0,16,14,2,6,6,0,1,37,0,0,2,50,1,2,30,1,3,35,1,3,45,1,3,37,1,2,50,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
