NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOS Q;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
863;35.06666666666667;36.0;30.833333333333332;19.5;33.0;0.0;37.0;43.333333333333336;3;0.0;0.0;0.0;43.0;45.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;28.5
865;35.19230769230769;0.0;25.5;30.0;22.5;4.0;0.0;18.181818181818183;2;13.5;0.0;6.5;32.0;0.0;6.0;1;6;2;4;1;0;1;2;9.0;3;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;12.0
866;38.93333333333333;41.0;38.05882352941177;36.0;30.0;34.0;44.0;37.111111111111114;7;30.0;30.0;30.0;38.0;42.0;35.76470588235294;0;16;16;0;6;6;0;1;43.0;1;2;38.0;1;3;37.0;1;3;34.0;1;3;30.0;1;2;45.0;1;3;0;0;2;3;41.94117647058823
868;37.6;50.0;38.8235294117647;41.0;39.0;33.0;45.0;35.833333333333336;7;35.0;35.0;32.0;33.0;42.0;40.388888888888886;0;18;18;0;7;7;0;1;39.0;1;2;39.0;1;3;42.0;1;3;37.0;1;3;34.0;1;2;45.0;1;3;46;1;2;3;43.11764705882353
874;34.53333333333333;36.0;25.676470588235293;14.666666666666666;16.0;30.0;45.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;27.333333333333332
876;38.2;45.0;37.3235294117647;33.0;30.5;38.0;49.0;41.27777777777778;7;41.0;40.0;43.0;35.0;47.0;40.27777777777778;0;18;18;0;7;7;0;1;39.0;1;2;44.0;1;3;50.0;1;3;37.0;1;3;30.0;1;2;34.0;1;3;46;1;2;3;41.64705882352941
879;39.86666666666667;47.0;42.88235294117647;37.0;47.0;38.0;49.0;42.111111111111114;7;50.0;43.0;35.0;34.0;44.0;44.72222222222222;0;18;18;0;7;7;0;1;33.0;1;2;40.0;1;3;50.0;1;3;50.0;1;3;39.0;1;2;47.0;1;3;50;1;2;3;42.05882352941177
881;38.733333333333334;44.0;40.294117647058826;40.0;37.0;34.0;45.0;38.22222222222222;7;32.0;41.0;31.0;34.0;45.0;40.470588235294116;0;16;16;0;6;6;0;1;48.0;1;2;37.0;1;3;39.0;1;3;47.0;1;3;41.0;1;2;47.0;1;3;0;0;2;3;42.88235294117647
882;36.4;38.0;33.76470588235294;30.0;30.0;30.0;47.0;34.111111111111114;6;31.0;29.0;30.0;33.0;40.0;25.833333333333332;1;7;5;2;2;1;1;2;0.0;0;2;36.0;1;3;0.0;0;3;0.0;0;3;23.5;2;2;0.0;0;3;0;0;2;2;36.9
883;36.0;44.0;38.294117647058826;34.0;37.0;40.0;47.0;36.333333333333336;7;31.0;38.0;30.0;30.0;46.0;40.166666666666664;0;18;18;0;7;7;0;1;38.0;1;2;39.0;1;3;41.0;1;3;42.0;1;3;30.0;1;2;43.0;1;3;46;1;2;3;40.529411764705884
