NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
747;4;474.97;69.01;76.27;78.77;50.87;6;33.03333333333333;2;22;15;7;7;5;2;1;4;5;25.0;2;40.0;1;2;27.5;2;3;40.0;1;1;39.0;1;2;35.0;1;1;40.0;1;2;2;38.411764705882355
748;7;471.71;75.41;76.27;55.09;50.1;7;16.818181818181817;0;11;11;0;5;1;4;2;4;9;15.0;1;15.0;1;2;15.0;1;3;30.0;1;1;0.0;0;2;20.0;1;1;0.0;0;2;1;0.0
749;16;541.9;78.36;79.58;87.87;85.05;4;36.56410256410256;1;17;13;4;6;5;1;1;4;9;40.0;1;50.0;1;2;35.0;1;3;40.0;1;1;17.666666666666668;3;2;35.0;1;1;0.0;0;2;2;33.833333333333336
750;11;523.87;88.79;76.27;75.16;88.85;11;39.93333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;45.0;1;2;40.0;1;3;40.0;1;1;43.0;1;2;35.0;1;1;44.0;1;2;2;38.88235294117647
751;20;477.27;74.62;66.68;66.77;59.21;20;36.53333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;30.0;1;3;35.0;1;1;39.0;1;2;35.0;1;1;45.0;1;2;2;39.705882352941174
752;20;369.61;54.03;60.67;58.93;47.17;10;27.939393939393938;2;22;11;11;5;3;2;2;4;9;30.0;1;40.0;1;2;18.0;4;3;40.0;1;1;0.0;0;2;13.333333333333334;3;1;0.0;0;2;1;21.5
753;11;489.97;60.51;72.78;63.99;79.81;11;35.4;1;21;15;6;7;6;1;1;4;5;30.0;1;40.0;1;2;26.666666666666668;3;3;45.0;1;1;38.0;1;2;40.0;1;1;45.0;1;2;2;33.1764705882353
754;20;522.16;78.36;76.27;82.9;77.55;20;37.166666666666664;1;18;15;3;7;6;1;1;4;5;30.0;1;40.0;1;2;27.5;2;3;45.0;1;1;45.0;1;2;40.0;1;1;50.0;1;2;2;36.588235294117645
755;20;480.92;78.36;69.98;63.2;62.94;20;29.666666666666668;2;25;15;10;7;5;2;2;4;9;22.5;2;40.0;1;2;18.333333333333332;3;3;40.0;1;1;41.0;1;2;30.0;1;1;34.0;1;2;1;24.2
756;14;480.47;78.36;63.86;63.2;63.4;14;30.454545454545453;0;11;11;0;5;3;2;1;4;9;25.0;1;45.0;1;2;25.0;1;3;40.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;0.0
