NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
138;16;406.34;53.2;46.84;53.95;42.2;16;28.181818181818183;1;19;8;4;1;1;20.0;0.0;30.0;40.0;30.0;40.0;0.0;25.416666666666668;3;39;12;27;4;2;2;1;30.0;1;3;14.666666666666666;6;3;25.0;2;3;0.0;0;2;0.0;0;1;32.0;4;3;0.0;0;2;2;30.857142857142858
139;10;452.34;58.01;64.28;52.56;56.28;10;32.69230769230769;1;21;8;5;1;10;25.0;40.0;35.0;40.0;30.0;40.0;0.0;27.083333333333332;3;27;12;15;4;1;3;1;25.0;3;3;25.0;2;3;23.333333333333332;3;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;1;27.75
140;1;452.92;60.49;58.93;65.0;61.22;1;33.666666666666664;1;19;4;6;1;5;25.0;35.0;30.0;35.0;45.0;40.0;40.0;34.25;2;21;16;5;6;5;1;1;25.0;2;3;40.0;1;3;35.0;1;3;34.5;2;2;0.0;0;1;35.0;1;3;37.0;1;2;2;34.9
141;8;433.38;60.49;58.93;60.25;67.6;8;32.06666666666667;1;19;4;7;0;5;30.0;30.0;30.0;35.0;30.0;40.0;38.0;37.35294117647059;1;20;17;3;7;7;0;1;40.0;1;3;40.0;1;3;30.0;2;3;30.0;1;2;40.0;1;1;35.0;1;3;50.0;1;2;2;33.666666666666664
142;6;460.26;72.55;46.84;60.25;65.86;6;36.8;1;19;4;7;0;10;30.0;40.0;40.0;40.0;35.0;40.0;41.0;38.625;0;16;16;0;6;6;0;1;35.0;1;3;40.0;1;3;40.0;1;3;33.0;1;2;0.0;0;1;45.0;1;3;36.0;1;2;3;40.333333333333336
143;6;482.15;81.5;66.74;60.25;69.48;6;35.733333333333334;0;15;0;7;0;5;30.0;40.0;40.0;40.0;30.0;40.0;38.0;35.9375;0;16;16;0;6;6;0;1;40.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;35.0;1;2;2;37.6
144;20;445.13;55.8;65.89;50.05;41.7;20;15.0;0;9;0;0;4;10;15.0;0.0;15.0;15.0;0.0;15.0;0.0;11.25;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;1;0.0
145;19;434.27;72.55;61.41;60.25;53.32;19;31.77777777777778;2;26;11;5;2;10;21.666666666666668;40.0;25.0;30.0;45.0;35.0;40.0;31.964285714285715;2;20;14;6;5;4;1;1;30.0;1;3;22.5;2;3;30.0;2;3;0.0;0;2;0.0;0;1;40.0;1;3;40.0;1;2;2;32.083333333333336
146;8;434.02;62.82;58.93;47.79;55.84;8;20.454545454545453;1;15;4;2;3;1;15.0;0.0;15.0;30.0;0.0;40.0;25.0;26.25;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;1;0.0
147;20;453.44;62.82;58.93;53.95;54.57;8;27.43846153846154;2;32;19;4;2;10;14.8;0.0;27.5;30.0;35.0;45.0;35.0;32.21875;2;23;8;15;3;2;1;1;19.25;4;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;40.0;3;3;40.0;1;2;1;22.857142857142858
148;7;453.76;62.82;56.51;58.09;83.41;7;16.818181818181817;0;11;0;0;5;10;15.0;0.0;15.0;15.0;0.0;15.0;25.0;11.25;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;1;0.0
149;20;444.16;69.99;54.12;47.79;62.69;20;31.833333333333332;2;34;19;5;2;1;20.0;40.0;27.5;35.0;40.0;40.0;40.0;15.65625;3;60;12;48;4;1;3;1;10.0;7;3;5.5;4;3;12.125;8;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;1;18.88888888888889
150;20;413.87;39.38;58.68;55.53;0.0;18;29.666666666666668;1;17;2;6;1;1;30.0;15.0;30.0;35.0;30.0;40.0;35.0;28.541666666666668;2;21;12;9;4;2;2;2;30.0;1;3;27.5;2;3;16.666666666666668;3;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;1;18.0
151;9;453.18;63.9;54.31;61.53;40.5;9;17.73076923076923;3;58;45;2;4;10;11.5;0.0;8.166666666666666;20.0;15.0;40.0;35.0;18.69047619047619;3;54;9;45;3;0;3;1;12.428571428571429;7;3;0.0;0;3;16.142857142857142;7;3;0.0;0;2;0.0;0;1;27.5;4;3;0.0;0;2;1;7.861111111111111
152;20;493.16;75.27;58.93;74.54;111.94;8;36.81818181818182;0;11;0;5;0;1;30.0;0.0;40.0;35.0;0.0;40.0;45.0;30.0;0;3;3;0;1;1;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;1;0.0
153;20;449.16;67.05;51.8;55.49;49.51;11;20.096153846153847;3;44;31;3;3;10;12.5;0.0;13.75;30.0;15.0;40.0;35.0;17.85;4;41;10;31;4;1;3;1;12.0;5;3;0.0;0;3;15.0;4;3;0.0;0;2;7.5;2;1;30.0;4;3;0.0;0;2;1;13.125
154;14;457.2;67.54;56.51;60.25;58.45;8;30.6;2;22;7;5;2;5;25.0;40.0;25.0;30.0;30.0;40.0;37.0;29.625;3;27;16;11;6;3;3;1;25.0;2;3;25.0;3;3;30.0;1;3;29.5;2;2;0.0;0;1;35.0;1;3;35.0;1;2;2;33.86666666666667
155;1;435.53;65.16;56.51;49.87;43.48;1;31.944444444444446;2;26;11;5;2;5;21.666666666666668;35.0;27.5;40.0;35.0;40.0;45.0;31.84375;1;19;16;3;6;5;1;1;35.0;1;3;30.0;1;3;22.5;2;3;31.0;1;2;0.0;0;1;35.0;1;3;40.0;1;2;2;35.2
156;20;391.53;47.67;44.26;51.92;49.65;20;28.366666666666667;3;28;13;4;3;1;20.0;26.5;22.5;35.0;35.0;40.0;40.0;28.166666666666668;2;24;12;12;4;3;1;2;17.666666666666668;3;3;30.0;1;3;30.0;1;3;0.0;0;2;0.0;0;1;35.0;3;3;0.0;0;2;1;15.4
157;20;376.29;53.2;49.32;51.92;45.98;19;23.846153846153847;5;28;15;1;5;1;15.0;0.0;25.0;27.5;35.0;22.5;27.5;17.5;1;9;3;6;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;23.333333333333332;3;3;0.0;0;2;1;0.0
158;8;462.64;65.25;53.97;59.24;65.79;7;32.0;1;19;4;6;1;5;22.5;40.0;30.0;30.0;30.0;40.0;45.0;36.6875;0;16;16;0;6;6;0;1;35.0;1;3;30.0;1;3;30.0;1;3;37.0;1;2;0.0;0;1;50.0;1;3;39.0;1;2;2;36.4
159;4;446.0;67.54;56.51;55.99;57.13;8;18.636363636363637;5;30;19;2;3;10;15.0;0.0;15.0;32.5;0.0;32.5;17.5;21.666666666666668;0;9;9;0;3;1;2;2;15.0;1;3;0.0;0;3;15.0;1;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;1;0.0
