NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_DEM,VECES_DEM,CREDITOS_DEM,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_HCI,VECES_HCI,CREDITOS_HCI,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES
0,0,3,45,1,1,30,1,3,25,2,3,0,0,3,45,1,2,50,1,1,1,13,7,6,6,4,2,2,12.5
12,3,3,40,1,1,40,2,3,40,3,3,20,3,3,30,1,2,35,1,1,4,37,10,27,14,5,9,2,11.5
30,2,3,40,1,1,40,1,3,35,1,3,30,2,3,45,1,2,50,1,1,2,22,16,6,9,7,2,2,25.33333333
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,3,3,21,2,1,30,1,3,35,2,3,30,2,3,40,1,2,40,1,1,4,29,15,14,12,6,6,2,12.5
35,1,3,35,1,1,45,1,3,30,1,3,40,2,3,35,1,2,45,1,1,1,19,16,3,8,7,1,1,26
40,1,3,0,0,1,40,1,3,35,1,3,20,2,3,40,1,2,50,1,1,1,18,12,6,7,5,2,2,21.66666667
15,1,3,15,1,1,0,0,3,0,0,3,15,1,3,25,1,2,15,1,1,0,10,0,10,5,0,5,2,0
30,2,3,40,1,1,40,1,3,30,1,3,35,2,3,45,1,2,45,1,1,2,22,16,6,9,7,2,2,30.28571429
45,1,3,45,1,1,40,1,3,35,1,3,30,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,34.28571429
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,35,1,1,40,1,3,30,1,3,30,3,3,40,1,2,40,1,1,1,22,16,6,9,7,2,2,20.4
35,2,3,50,1,1,45,1,3,30,1,3,30,1,3,35,1,2,50,1,1,1,19,16,3,8,7,1,1,29.28571429
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,40,1,1,40,1,3,40,2,3,30,1,3,45,1,2,40,1,1,1,19,16,3,8,7,1,1,26.875
35,3,3,40,1,1,35,1,3,30,1,3,30,4,3,40,1,2,45,1,1,2,31,16,15,12,7,5,2,17.27272727
30,2,3,30,1,1,40,1,3,35,1,3,35,1,3,45,1,2,50,1,1,1,19,16,3,8,7,1,1,24
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,41,1,1,45,1,3,35,1,3,35,1,3,40,1,2,50,1,1,0,16,16,0,7,7,0,1,33.57142857
29,4,3,45,1,1,40,2,3,30,2,3,23,4,3,40,1,2,35,1,1,4,40,10,30,15,5,10,2,20
30,1,3,39,1,1,35,1,3,35,1,3,35,2,3,45,1,2,50,1,1,1,19,16,3,8,7,1,1,28.71428571
40,1,3,40,1,1,40,1,3,30,1,3,30,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,20.5
35,2,3,48,1,1,42,1,3,36,1,3,29,3,3,50,1,2,45,1,1,2,25,13,12,10,6,4,2,31
35,2,3,35,1,1,45,1,3,30,1,3,30,2,3,35,1,2,40,1,1,2,22,16,6,9,7,2,2,21
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,35,1,2,45,1,1,0,3,3,0,2,2,0,1,0
30,1,3,38,1,1,40,1,3,30,1,3,35,2,3,45,1,2,50,1,1,1,19,16,3,8,7,1,1,19
40,2,3,50,1,1,45,1,3,30,2,3,35,2,3,40,1,2,50,1,1,3,25,16,9,10,7,3,2,27.85714286
35,3,3,35,1,1,30,1,3,35,2,3,35,2,3,45,1,2,35,1,1,3,28,16,12,11,7,4,2,21.4
40,1,3,50,1,1,45,1,3,30,1,3,30,1,3,35,1,2,50,1,1,0,16,16,0,7,7,0,1,30
27,3,3,39,1,1,40,1,3,36,3,3,16,4,3,40,1,2,40,1,1,3,37,10,27,14,5,9,2,12
30,1,3,45,1,1,35,1,3,30,1,3,35,2,3,40,1,2,50,1,1,1,19,16,3,8,7,1,2,27.85714286
35,1,3,42,1,1,40,1,3,30,1,3,30,1,3,40,1,2,50,1,1,0,16,16,0,7,7,0,1,35
15,5,3,40,2,1,20,5,3,0,1,3,25,4,3,35,1,2,45,1,1,4,50,4,46,19,3,16,2,0
30,1,3,39,1,1,40,1,3,30,1,3,35,2,3,45,1,2,50,1,1,1,19,16,3,8,7,1,1,27.57142857
35,3,3,40,1,1,40,1,3,40,2,3,30,3,3,45,1,2,50,1,1,3,31,16,15,12,7,5,2,20
6,1,3,35,1,1,40,1,3,35,1,3,25,2,3,40,1,2,45,1,1,1,19,10,9,8,5,3,2,35
30,3,3,40,1,1,30,1,3,30,1,3,30,3,3,35,1,2,30,1,1,2,28,16,12,11,7,4,2,34.33333333
0,0,3,40,2,1,15,5,3,0,0,3,15,5,3,45,1,2,45,1,1,3,35,4,31,14,3,11,2,0
40,2,3,35,1,1,40,1,3,30,1,3,35,2,3,35,1,2,45,1,1,2,22,16,6,9,7,2,2,30.71428571
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,35,1,1,40,1,3,30,1,3,30,1,3,35,1,2,40,1,1,0,16,16,0,7,7,0,1,17.25
30,1,3,40,1,1,40,1,3,30,1,3,30,1,3,36,1,2,40,1,1,0,16,16,0,7,7,0,1,18.5
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,30,3,1,1,3,1,2,3,1,2,2,0
30,1,3,0,0,1,35,1,3,35,2,3,25,2,3,35,2,2,40,1,1,3,23,12,11,9,5,4,2,15
0,0,3,0,0,1,0,0,3,15,1,3,0,0,3,0,0,2,0,0,1,0,3,0,3,1,0,1,2,15
30,1,3,45,1,1,40,1,3,40,3,3,30,2,3,45,1,2,45,1,1,2,25,16,9,10,7,3,2,13.66666667
30,1,3,45,1,1,30,1,3,30,2,3,30,2,3,30,3,2,50,1,1,3,26,16,10,11,7,4,2,16.25
30,1,3,45,1,1,45,2,3,35,1,3,35,2,3,45,1,2,50,1,1,2,22,16,6,9,7,2,2,29.85714286
30,2,3,30,1,1,30,1,3,30,2,3,30,2,3,50,2,2,30,2,1,5,28,16,12,12,7,5,2,20.4
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
20,4,3,30,1,1,40,1,3,30,3,3,27,5,3,30,1,2,40,1,1,3,43,10,33,16,5,11,2,12.8
30,2,3,50,1,1,37,1,3,35,2,3,30,1,3,30,1,2,40,2,1,3,23,16,7,10,7,3,2,14.78571429
30,2,3,37,1,1,40,1,3,35,2,3,35,2,3,35,1,2,45,2,1,4,26,16,10,11,7,4,2,30.71428571
0,0,3,0,0,1,15,1,3,0,0,3,0,0,3,0,0,2,0,0,1,0,3,0,3,1,0,1,2,0
15,3,3,0,0,1,0,0,3,15,3,3,0,0,3,25,3,2,40,1,1,3,25,1,24,10,1,9,2,5
30,2,3,35,1,1,40,1,3,35,3,3,30,1,3,40,1,2,45,1,1,2,25,16,9,10,7,3,2,15.14285714
30,2,3,30,1,1,40,1,3,40,2,3,30,2,3,35,1,2,40,1,1,3,25,16,9,10,7,3,2,24.44444444
30,1,3,40,1,1,15,2,3,30,1,3,30,1,3,40,1,2,35,1,1,1,19,13,6,8,6,2,2,15.63636364
30,3,3,37,1,1,39,2,3,37,3,3,24,4,3,30,1,2,45,1,1,4,40,13,27,15,6,9,2,19.8
35,1,3,50,1,1,45,1,3,30,1,3,35,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,30
30,1,3,50,1,1,45,1,3,35,1,3,30,1,3,30,1,2,45,1,1,0,16,16,0,7,7,0,1,26.625
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,2,3,30,1,1,40,1,3,35,2,3,30,2,3,35,1,2,35,4,1,4,28,16,12,13,7,6,2,9.454545455
25,1,3,30,1,1,35,1,3,25,1,3,25,1,3,35,1,2,45,1,1,0,16,7,9,7,4,3,2,25
30,1,3,40,1,1,30,1,3,30,1,3,26,4,3,35,1,2,40,1,1,1,25,13,12,10,6,4,2,36.25
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,2,3,35,1,1,45,1,3,30,1,3,35,2,3,45,1,2,45,1,1,2,22,16,6,9,7,2,2,37
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,2,3,35,1,1,30,1,3,35,2,3,30,2,3,35,1,2,50,1,1,3,25,16,9,10,7,3,2,30.71428571
30,1,3,40,1,1,35,1,3,40,1,3,30,2,3,40,1,2,30,1,1,1,19,16,3,8,7,1,2,30.28571429
32,4,3,33,2,1,38,2,3,30,1,3,30,2,3,30,1,2,30,1,1,4,32,16,16,13,7,6,2,17.88888889
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,44,1,1,40,1,3,40,1,3,30,1,3,35,1,2,43,1,1,0,16,16,0,7,7,0,1,34.5
36,2,3,40,1,1,40,1,3,30,2,3,30,1,3,30,1,2,35,1,1,2,22,16,6,9,7,2,2,23.5
30,1,3,40,1,1,45,1,3,35,2,3,36,3,3,30,1,2,50,1,1,2,25,16,9,10,7,3,2,23.33333333
35,2,3,40,1,1,35,1,3,30,1,3,30,2,3,40,1,2,45,1,1,2,22,16,6,9,7,2,2,21.66666667
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
25,4,3,35,1,1,45,1,3,30,1,3,25,5,3,40,1,2,45,1,1,2,37,10,27,14,5,9,2,37.5
32,4,3,41,1,1,35,1,3,35,2,3,30,4,3,40,1,2,40,1,1,3,37,16,21,14,7,7,2,19
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,2,3,45,1,1,45,1,3,35,1,3,40,1,3,45,1,2,50,1,1,1,19,16,3,8,7,1,1,24.66666667
36,4,3,0,0,1,25,5,3,31,4,3,25,4,3,35,1,2,40,1,1,4,54,9,45,19,4,15,2,11
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,45,1,1,35,1,3,35,1,3,37,3,3,45,1,2,40,1,1,1,22,16,6,9,7,2,2,35.33333333
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
15,1,3,35,1,1,45,1,3,40,1,3,35,1,3,40,1,2,50,1,1,0,16,13,3,7,6,1,1,40
40,2,3,35,1,1,35,1,3,35,2,3,35,1,3,30,1,2,40,1,1,2,22,16,6,9,7,2,2,10.33333333
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,1,3,40,1,1,0,0,3,45,1,3,25,1,3,45,1,2,40,1,1,0,13,10,3,6,5,1,1,45
40,1,3,35,1,1,45,1,3,40,1,3,35,1,3,50,1,2,45,1,1,0,16,16,0,7,7,0,1,40
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
35,1,3,45,1,1,35,1,3,35,1,3,45,1,3,45,1,2,50,1,1,0,16,16,0,7,7,0,1,25.88888889
30,2,3,45,1,1,40,1,3,30,1,3,35,1,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,25.75
