NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES
545;13;468.06;65.16;56.51;55.99;64.23;16;37.13333333333333;0;15;0;7;0;5;30.0;40.0;40.0;45.0;40.0;40.0;36.0;33.55882352941177;1;20;17;3;7;6;1;1;30.0;1;3;27.5;2;3;30.0;1;3;35.0;1;2;40.0;1;1;40.0;1;3;39.0;1;2;2
546;6;434.73;73.57;55.86;52.77;42.76;10;24.977777777777774;2;37;22;4;3;1;14.166666666666666;30.0;30.0;35.0;28.0;30.0;23.5;19.770833333333332;2;30;12;18;5;2;3;2;17.75;4;3;0.0;0;3;12.0;4;3;4.0;1;2;35.0;1;1;35.0;1;3;0.0;0;2;1
547;10;472.35;61.53;55.56;63.98;58.06;10;29.23076923076923;4;22;9;2;4;1;22.5;40.0;25.0;27.5;40.0;27.5;0.0;29.3;4;37;15;22;6;3;3;1;27.5;2;3;30.0;1;3;25.0;4;3;26.0;3;2;35.0;1;1;35.0;3;3;0.0;0;2;1
548;7;472.33;58.94;58.27;56.82;50.86;7;36.266666666666666;1;19;4;6;1;5;25.0;40.0;40.0;40.0;45.0;40.0;37.0;33.588235294117645;1;20;17;3;7;7;0;1;35.0;1;3;30.0;1;3;30.0;1;3;35.0;1;2;40.0;1;1;34.0;2;3;37.0;1;2;2
549;7;432.91;70.26;57.99;40.39;67.51;7;32.733333333333334;1;19;4;6;1;1;22.5;45.0;35.0;45.0;30.0;35.0;33.0;28.4;4;39;15;24;6;3;3;1;22.5;2;3;16.666666666666668;3;3;26.5;4;3;35.0;1;2;39.0;1;1;40.0;3;3;0.0;0;2;1
550;9;444.17;77.58;48.33;48.79;79.55;9;38.4;0;15;0;7;0;5;35.0;45.0;35.0;40.0;40.0;35.0;43.0;37.05882352941177;0;17;17;0;7;7;0;1;35.0;1;3;30.0;1;3;30.0;1;3;35.0;1;2;40.0;1;1;45.0;1;3;50.0;1;2;2
551;20;419.04;61.49;45.57;52.77;48.4;20;37.333333333333336;0;15;0;7;0;1;30.0;45.0;40.0;35.0;44.0;35.0;36.0;33.166666666666664;2;21;15;6;6;6;0;1;30.0;1;3;32.5;2;3;35.0;1;3;30.0;1;2;40.0;1;1;35.0;2;3;0.0;0;2;1
552;16;459.92;70.11;50.94;50.78;49.63;8;37.2;0;15;0;7;0;5;35.0;45.0;40.0;35.0;35.0;35.0;34.0;33.6764705882353;4;31;17;14;7;5;2;2;30.0;2;3;32.5;2;3;26.666666666666668;3;3;27.5;2;2;40.0;1;1;40.0;1;3;45.0;1;2;2
553;19;455.28;64.24;55.56;57.16;49.63;19;33.18181818181818;1;15;4;4;1;1;25.0;45.0;35.0;35.0;0.0;35.0;0.0;25.833333333333332;0;12;12;0;5;2;3;2;20.0;1;3;0.0;0;3;25.0;1;3;30.0;1;2;40.0;1;1;25.0;1;3;0.0;0;2;1
554;18;451.64;64.09;53.57;54.55;45.2;18;32.27272727272727;1;15;4;4;1;1;15.0;45.0;40.0;45.0;0.0;40.0;0.0;18.636363636363637;0;11;11;0;4;0;4;2;15.0;1;3;0.0;0;3;15.0;1;3;20.0;1;2;0.0;0;1;25.0;1;3;0.0;0;2;1
