NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ
977;37.0;38.76470588235294;44.0;39.86666666666667;43.0;40.785714285714285;14;43.0;38.0;40.0;38.1875;1;18;16;2;8;8;0;1;50.0;1;1;34.5;2;2;35.0;1;2;38.0;1;3;30.0;1;2;47.0;1;2;43.0;1;2;34.0;1;2;2
978;34.88235294117647;35.5;30.0;40.333333333333336;29.5;36.357142857142854;14;36.0;38.0;42.0;37.08333333333333;1;20;16;4;8;7;1;1;50.0;1;1;35.0;1;2;31.0;1;2;38.0;1;3;24.666666666666668;3;2;47.0;1;2;42.0;1;2;35.0;1;2;3
980;37.470588235294116;41.294117647058826;48.0;40.46666666666667;46.0;38.42857142857143;14;38.0;43.0;44.0;36.48958333333333;2;23;16;7;8;6;2;1;47.0;1;1;36.0;1;2;34.0;1;2;26.5;2;3;28.666666666666668;3;2;42.0;1;2;44.0;1;2;44.0;1;2;3
983;39.794117647058826;41.294117647058826;48.0;43.4;44.0;44.57142857142857;14;43.0;43.0;50.0;41.375;0;16;16;0;8;8;0;1;50.0;1;1;38.0;1;2;44.0;1;2;44.0;1;3;31.0;1;2;43.0;1;2;42.0;1;2;42.0;1;2;3
984;41.588235294117645;41.705882352941174;41.0;44.333333333333336;46.0;41.607142857142854;17;37.0;48.0;44.0;37.65625;1;19;16;3;8;7;1;1;50.0;1;1;34.0;1;2;36.0;1;2;29.5;2;3;30.0;1;2;46.0;1;2;41.0;1;2;45.0;1;2;3
985;41.8235294117647;37.0;30.0;41.666666666666664;46.0;37.607142857142854;19;32.0;36.0;41.0;39.75;0;16;16;0;8;8;0;1;48.0;1;1;37.0;1;2;32.0;1;2;36.0;1;3;40.0;1;2;46.0;1;2;41.0;1;2;44.0;1;2;3
986;36.411764705882355;37.55882352941177;34.0;41.86666666666667;43.0;39.214285714285715;17;36.0;44.0;47.0;37.8125;0;16;16;0;8;8;0;1;45.0;1;1;43.0;1;2;34.0;1;2;34.0;1;3;31.0;1;2;43.0;1;2;30.0;1;2;48.0;1;2;3
988;37.411764705882355;39.35294117647059;36.0;38.3;43.0;40.142857142857146;14;45.0;43.0;46.0;38.9375;0;16;16;0;8;8;0;1;45.0;1;1;35.0;1;2;44.0;1;2;34.0;1;3;30.0;1;2;40.0;1;2;43.0;1;2;46.0;1;2;3
989;39.94117647058823;36.76470588235294;30.0;41.266666666666666;44.0;40.285714285714285;14;30.0;45.0;38.0;36.625;1;18;16;2;8;7;1;1;48.0;1;1;30.0;1;2;42.0;1;2;34.0;1;3;27.0;2;2;42.0;1;2;40.0;1;2;37.0;1;2;2
993;35.3235294117647;35.205882352941174;45.0;38.0;30.0;36.857142857142854;14;31.0;39.0;40.0;38.375;0;16;16;0;8;8;0;1;50.0;1;1;39.0;1;2;38.0;1;2;38.0;1;3;30.0;1;2;41.0;1;2;42.0;1;2;35.0;1;2;3
996;38.294117647058826;41.64705882352941;44.0;42.4;46.0;39.357142857142854;14;42.0;42.0;48.0;37.875;0;16;16;0;8;8;0;1;45.0;1;1;38.0;1;2;35.0;1;2;33.0;1;3;31.0;1;2;43.0;1;2;45.0;1;2;39.0;1;2;3
998;41.8235294117647;37.76470588235294;35.0;44.06666666666667;47.0;44.42857142857143;14;44.0;45.0;47.0;35.71875;2;21;16;5;8;8;0;1;47.0;1;1;36.0;1;2;30.0;1;2;31.5;2;3;30.0;2;2;41.0;1;2;44.0;1;2;34.0;1;2;3
999;38.76470588235294;37.23529411764706;29.5;39.53333333333333;40.0;37.11904761904761;18;29.333333333333332;39.0;40.0;33.5;2;20;16;4;8;7;1;1;50.0;1;1;31.0;1;2;30.0;2;2;34.0;1;3;26.0;2;2;30.0;1;2;35.0;1;2;40.0;1;2;2
1001;35.64705882352941;40.88235294117647;39.0;42.13333333333333;39.0;41.92857142857143;14;35.0;44.0;46.0;37.3125;2;21;16;5;8;8;0;1;50.0;1;1;38.0;1;2;36.0;2;2;33.0;2;3;30.0;1;2;40.0;1;2;42.0;1;2;38.0;1;2;3
1002;37.6764705882353;40.64705882352941;33.0;43.4;46.0;42.714285714285715;14;38.0;43.0;47.0;36.125;1;19;16;3;8;7;1;1;50.0;1;1;34.0;1;2;39.0;1;2;28.0;2;3;30.0;1;2;40.0;1;2;42.0;1;2;37.0;1;2;2
1004;31.5;35.8235294117647;41.0;34.333333333333336;42.0;35.642857142857146;14;31.0;37.0;44.0;37.875;0;16;16;0;8;8;0;1;50.0;1;1;31.0;1;2;41.0;1;2;42.0;1;3;33.0;1;2;34.0;1;2;39.0;1;2;37.0;1;2;2
1005;37.411764705882355;36.44117647058823;40.0;40.53333333333333;41.0;38.785714285714285;16;28.5;43.0;42.0;35.5;1;19;16;3;8;7;1;1;45.0;1;1;40.0;1;2;35.0;1;2;27.0;2;3;30.0;1;2;33.0;1;2;37.0;1;2;46.0;1;2;2
1007;37.88235294117647;40.23529411764706;37.0;42.2;44.0;41.714285714285715;14;33.0;46.0;48.0;39.6875;0;16;16;0;8;8;0;1;50.0;1;1;35.0;1;2;33.0;1;2;43.0;1;3;34.0;1;2;38.0;1;2;44.0;1;2;44.0;1;2;3
1008;39.529411764705884;36.94117647058823;45.0;42.6;47.0;39.07142857142857;14;34.0;35.0;38.0;38.625;1;18;16;2;8;8;0;1;50.0;1;1;39.0;1;2;35.5;2;2;43.0;1;3;30.0;1;2;41.0;1;2;32.0;1;2;42.0;1;2;3
1010;37.470588235294116;38.88235294117647;32.0;39.86666666666667;43.0;38.17857142857143;17;39.0;42.0;43.0;36.875;2;20;16;4;8;7;1;1;45.0;1;1;40.0;1;2;31.5;2;2;30.0;1;3;29.0;2;2;43.0;1;2;42.0;1;2;42.0;1;2;3
1011;32.029411764705884;35.470588235294116;30.0;35.86666666666667;29.0;35.92857142857143;16;30.0;43.0;41.0;31.25;2;25;16;9;8;6;2;1;50.0;1;1;32.0;1;2;20.25;4;2;22.5;2;3;30.0;1;2;32.0;1;2;42.0;1;2;35.0;1;2;2
1013;32.68181818181818;34.45454545454545;30.0;39.857142857142854;39.0;27.22222222222222;8;30.0;0.0;0.0;23.833333333333332;2;17;13;4;3;1;2;2;0.0;0;1;0.0;1;2;2.5;2;2;0.0;1;3;0.0;1;2;40.0;1;2;0.0;0;2;29.0;2;2;1
1016;37.94117647058823;39.94117647058823;39.0;43.46666666666667;46.0;41.214285714285715;14;42.0;44.0;46.0;37.875;0;16;16;0;8;8;0;1;43.0;1;1;36.0;1;2;38.0;1;2;41.0;1;3;31.0;1;2;48.0;1;2;31.0;1;2;36.0;1;2;3
