CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,PROMEDIO_SIES,NOTA_EE_TRES,VECES_EE_TRES,CREDITOS_EE_TRES,NOTA_FISICA_TRES,VECES_FISICA_TRES,CREDITOS_FISICA_TRES,NOTA_ARQ_COMP,VECES_ARQ_COMP,CREDITOS_ARQ_COMP,NOTA_MOD_PROG_DOS,VECES_MOD_PROG_DOS,CREDITOS_MOD_PROG_DOS,NOTA_CIENCIAS_COMP_UNO,VECES_CIENCIAS_COMP_UNO,CREDITOS_CIENCIAS_COMP_UNO,NOTA_INV_OP_UNO,VECES_INV_OP_UNO,CREDITOS_INV_OP_UNO,NOTA_PROB,VECES_PROB,CREDITOS_PROB
0,19,19,0,7,7,0,1,46.11111111,47,1,2,39,1,3,46,1,2,43,1,3,41,1,3,39,1,3,37,1,3
0,8,8,0,3,3,0,1,20,0,0,0,0,0,0,45,1,2,0,0,0,37,1,3,0,0,0,47,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,12,4,0,4,2,0,0,0,0,2,1,3,0,0,0,0,0,0,3,1,3,0,1,3,0,1,3
0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,42,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,42.55555556,47,1,2,35,1,3,44,1,2,46,1,3,42,1,3,38,1,3,49,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,43.16666667,43,1,2,33,1,3,43,1,2,47,1,3,32,1,3,36,1,3,39,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,11,9,7,4,3,2,37.75,0,0,0,24,1,3,40,1,2,43,1,3,14,2,3,32,1,3,31,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,16,6,8,6,2,2,32.95,43,1,2,40,1,3,38,1,2,45,1,3,28,2,3,30,1,3,37,1,3
0,19,19,0,7,7,0,1,42.16666667,42,1,2,33,1,3,44,1,2,46,1,3,37,1,3,37,1,3,34,1,3
0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,16,6,8,6,2,2,38.33333333,45,1,2,35,1,3,38,1,2,48,1,3,31,1,3,30,1,3,27,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,0,1,1,0,2,32.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,35.05,41,1,2,32,1,3,34,1,2,45,1,3,41,1,3,30,1,3,36,1,3
0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,39.33333333,44,1,2,36,1,3,44,1,2,41,1,3,30,1,3,34,1,3,43,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,41.5,47,1,2,40,1,3,42,1,2,38,1,3,37,1,3,31,1,3,36,1,3
0,19,19,0,7,7,0,1,40.55555556,45,1,2,30,1,3,44,1,2,32,1,3,33,1,3,31,1,3,40,1,3
0,19,19,0,7,7,0,1,42.5,48,1,2,40,1,3,42,1,2,35,1,3,34,1,3,37,1,3,45,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,19,2,8,7,1,1,37.55555556,39,2,2,35,1,3,42,1,2,40,1,3,35,1,3,32,1,3,38,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,7,7,0,1,40.88888889,46,1,2,31,1,3,42,1,2,36,1,3,36,1,3,32,1,3,36,1,3
0,19,19,0,7,7,0,1,44.11111111,44,1,2,39,1,3,44,1,2,43,1,3,38,1,3,41,1,3,43,1,3
