NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_CD&C,VECES_CD&C,CREDITOS_CD&C,NOTA_DITO,VECES_DITO,CREDITOS_DITO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,ESTADO_UNO,PROMEDIO_DOS
34,1,4,32,1,2,34,1,1,39,1,2,30,1,3,30,1,1,30,1,2,0,15,15,0,7,7,0,1,1,40.64705882
32,3,4,39,1,2,35,1,1,40,1,2,30,2,3,33,1,1,41,1,2,2,15,15,0,7,7,0,2,3,38.05882353
31,1,4,43,1,2,34,1,1,39,1,2,32,2,3,41,1,1,35,1,2,1,15,15,0,7,7,0,1,1,23.6
24,3,4,36,1,2,32,1,1,41,1,2,26,3,3,33,1,1,30,1,2,2,15,8,7,7,5,2,2,3,26
14,1,4,10,1,2,15,1,1,22,1,2,13,1,3,15,1,1,10,1,2,0,15,0,15,7,0,7,2,3,0
32,1,4,45,1,2,36,1,1,42,1,2,30,1,3,40,1,1,39,1,2,0,15,15,0,7,7,0,1,1,33.88235294
36,1,4,39,1,2,40,1,1,43,1,2,34,1,3,41,1,1,44,1,2,0,15,15,0,7,7,0,1,1,40.23529412
24,1,4,34,1,2,30,1,1,40,1,2,6,1,3,30,1,1,31,1,2,0,15,8,7,7,5,2,2,3,0
31,2,4,30,1,2,30,2,1,38,1,2,30,2,3,40,2,1,30,2,2,5,15,15,0,7,7,0,1,1,26.8
30,2,4,34,1,2,36,1,1,39,1,2,17,1,3,30,1,1,31,1,2,1,15,12,3,7,6,1,1,1,0
21,1,4,35,1,2,32,1,1,39,1,2,23,1,3,37,1,1,39,1,2,0,15,8,7,7,5,2,1,1,0
22,2,4,44,1,2,35,1,1,44,1,2,23,2,3,36,1,1,31,1,2,2,15,8,7,7,5,2,1,1,30.81818182
30,1,4,38,1,2,36,1,1,37,1,2,30,2,3,35,1,1,37,1,2,1,15,15,0,7,7,0,1,1,35.23529412
30,2,4,40,1,2,34,1,1,39,1,2,30,1,3,38,1,1,39,1,2,1,15,15,0,7,7,0,1,1,35.05882353
32,2,4,41,1,2,38,1,1,44,1,2,30,1,3,40,1,1,40,1,2,1,15,15,0,7,7,0,1,1,32.88235294
33,3,4,44,1,2,34,1,1,39,1,2,30,2,3,37,1,1,30,2,2,3,15,15,0,7,7,0,2,3,33.47058824
24,1,4,40,1,2,41,1,1,33,1,2,34,1,3,30,1,1,34,1,2,0,15,11,4,7,6,1,1,1,0
41,3,4,37,1,2,32,1,1,37,1,2,30,2,3,33,1,1,37,1,2,2,15,15,0,7,7,0,2,3,36.70588235
33,2,4,39,1,2,38,1,1,41,1,2,32,2,3,39,1,1,43,1,2,2,15,15,0,7,7,0,1,1,36.17647059
31,2,4,32,1,2,30,1,1,30,1,2,30,2,3,32,1,1,37,1,2,2,15,15,0,7,7,0,1,1,36.82352941
30,1,4,35,1,2,30,1,1,38,1,2,24,3,3,30,1,1,33,1,2,1,15,12,3,7,6,1,2,3,27.94117647
11,1,4,29,1,2,18,1,1,24,1,2,13,1,3,26,1,1,17,1,2,0,15,0,15,7,0,7,2,3,0
32,1,4,30,1,2,30,1,1,38,1,2,34,1,3,36,1,1,37,1,2,0,15,15,0,7,7,0,1,1,34.52941176
28,1,4,12,1,2,29,1,1,38,1,2,4,1,3,18,1,1,4,1,2,0,15,2,13,7,1,6,2,3,0
34,1,4,37,1,2,33,1,1,34,1,2,38,1,3,40,1,1,47,1,2,0,15,15,0,7,7,0,1,1,34.64705882
12,1,4,14,1,2,24,1,1,27,1,2,16,1,3,12,1,1,0,1,2,0,15,0,15,7,0,7,2,3,0
32,1,4,39,1,2,38,1,1,41,1,2,34,2,3,31,1,1,47,1,2,1,15,15,0,7,7,0,1,1,36.11764706
39,1,4,37,1,2,35,1,1,39,1,2,32,1,3,31,1,1,42,1,2,0,15,15,0,7,7,0,1,1,34.70588235
30,1,4,40,1,2,30,1,1,36,1,2,38,1,3,34,1,1,39,1,2,0,15,15,0,7,7,0,1,1,35.82352941
41,3,4,33,1,2,31,1,1,39,1,2,34,3,3,32,1,1,42,1,2,2,15,15,0,7,7,0,2,3,29.23529412
33,2,4,38,1,2,35,1,1,31,1,2,30,1,3,35,1,1,36,1,2,1,15,15,0,7,7,0,1,1,36.70588235
12,1,4,25,1,2,31,1,1,29,1,2,35,1,3,30,1,1,23,1,2,0,15,5,10,7,3,4,2,3,0
4,3,4,0,3,2,7,3,1,0,3,2,10,3,3,10,3,1,0,3,2,7,15,0,15,7,0,7,2,3,3
31,3,4,41,1,2,37,1,1,40,1,2,38,4,3,38,1,1,30,1,2,2,15,15,0,7,7,0,2,3,31.52941176
17,2,4,37,1,2,32,1,1,37,1,2,30,1,3,34,1,1,34,1,2,1,15,11,4,7,6,1,1,1,13.625
47,1,4,43,1,2,39,1,1,42,1,2,36,1,3,41,1,1,43,1,2,0,15,15,0,7,7,0,1,1,37.88235294
40,2,4,45,1,2,30,1,1,37,1,2,42,1,3,41,1,1,38,1,2,1,15,15,0,7,7,0,1,1,33.41176471
8,1,4,0,1,2,0,1,1,0,1,2,11,1,3,3,1,1,13,1,2,0,15,0,15,7,0,7,2,3,0
8,1,4,0,1,2,0,1,1,0,1,2,9,1,3,3,1,1,0,1,2,0,15,0,15,7,0,7,2,3,0
31,2,4,45,1,2,34,1,1,42,1,2,30,2,3,33,1,1,33,1,2,2,15,15,0,7,7,0,1,1,31.54545455
35,2,4,33,2,2,32,1,1,25,2,2,33,2,3,38,1,1,36,1,2,4,15,13,2,7,6,1,1,1,15.5
42,1,4,42,1,2,34,1,1,40,1,2,31,1,3,38,1,1,42,1,2,0,15,15,0,7,7,0,1,1,37.23529412
30,1,4,40,1,2,33,1,1,43,1,2,32,1,3,37,1,1,40,1,2,0,15,15,0,7,7,0,1,1,35.82352941
36,3,4,43,1,2,31,2,1,35,1,2,31,3,3,35,1,1,33,1,2,3,15,15,0,7,7,0,2,3,32.52941176
39,1,4,45,1,2,33,1,1,44,1,2,31,1,3,38,1,1,37,1,2,0,15,15,0,7,7,0,1,1,33.17647059
34,3,4,32,1,2,31,1,1,41,1,2,44,3,3,31,1,1,30,1,2,2,15,15,0,7,7,0,2,3,32.94117647
30,1,4,37,1,2,39,1,1,42,1,2,35,1,3,36,1,1,41,1,2,0,15,15,0,7,7,0,1,1,32.82352941
31,2,4,33,1,2,35,1,1,36,1,2,32,2,3,32,1,1,41,1,2,2,15,15,0,7,7,0,1,1,39.47058824
36,2,4,40,1,2,37,1,1,43,1,2,31,1,3,40,1,1,40,1,2,1,15,15,0,7,7,0,1,1,35.11764706
30,1,4,30,1,2,32,1,1,32,1,2,31,2,3,31,1,1,35,2,2,2,15,15,0,7,7,0,1,1,36.23529412
26,2,4,35,1,2,30,1,1,42,2,2,31,1,3,32,1,1,27,2,2,3,15,9,6,7,5,2,1,1,30
30,1,4,39,1,2,32,1,1,41,1,2,31,2,3,35,1,1,41,1,2,1,15,15,0,7,7,0,1,1,36.35294118
22,1,4,36,1,2,34,1,1,41,1,2,24,1,3,36,1,1,42,1,2,0,15,8,7,7,5,2,1,1,0
33,1,4,46,1,2,40,1,1,43,1,2,30,1,3,40,1,1,37,1,2,0,15,15,0,7,7,0,1,1,34.58823529
14,2,4,11,2,2,14,2,1,8,2,2,9,2,3,12,2,1,15,2,2,7,15,0,15,7,0,7,2,3,0
4,1,4,26,1,2,11,1,1,13,1,2,23,1,3,25,1,1,14,1,2,0,15,0,15,7,0,7,2,3,0
30,2,4,39,1,2,39,1,1,41,1,2,30,1,3,37,1,1,42,1,2,1,15,15,0,7,7,0,1,1,37.47058824
42,3,4,44,1,2,35,1,1,40,1,2,30,2,3,36,1,1,35,1,2,2,15,15,0,7,7,0,2,3,34.41176471
13,1,4,38,1,2,22,1,1,32,1,2,15,1,3,32,1,1,26,1,2,0,15,5,10,7,3,4,2,3,0
35,2,4,42,1,2,39,1,1,40,1,2,46,3,3,35,1,1,40,1,2,2,15,15,0,7,7,0,2,3,38.94117647
7,2,4,18,3,2,9,3,1,7,3,2,12,2,3,34,1,1,19,3,2,6,15,1,14,7,1,6,2,3,0
30,1,4,38,1,2,46,2,1,36,1,2,31,1,3,32,1,1,39,1,2,1,15,15,0,7,7,0,1,1,34.41176471
31,2,4,31,1,2,31,2,1,34,1,2,30,2,3,34,1,1,30,2,2,4,15,15,0,7,7,0,1,1,34.35294118
38,1,4,46,1,2,33,1,1,39,1,2,31,1,3,40,1,1,33,1,2,0,15,15,0,7,7,0,1,1,35.82352941
