NOTA_DIFERENCIAL,VECES_DIFERENCIAL,CREDITOS_DIFERENCIAL,NOTA_PROG_BASICA,VECES_PROG_BASICA,CREDITOS_PROG_BASICA,NOTA_CATEDRA_FJC,VECES_CATEDRA_FJC,CREDITOS_CATEDRA_FJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEMINARIO,VECES_SEMINARIO,CREDITOS_SEMINARIO,NOTA_CATEDRA_DEM,VECES_CATEDRA_DEM,CREDITOS_CATEDRA_DEM,NOTA_CATEDRA_CON,VECES_CATEDRA_CON,CREDITOS_CATEDRA_CON,NOTA_LOGICA,VECES_LOGICA,CREDITOS_LOGICA,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,PROMEDIO_UNO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,RENDIMIENTO_1
29.5,2,4,45,1,3,33,1,1,36,2,2,36,1,1,31,1,1,39,1,1,35,1,3,39,1,2,26.95833333,2,24,14,10,11,8,3,2,1
10,1,4,13.5,2,3,20,2,1,11,1,2,17.5,2,1,31.5,2,1,41,1,1,14,1,3,0,0,0,11.56818182,4,22,2,20,12,2,10,2,1
17,1,4,45,1,3,37,1,1,33,1,2,42,1,1,44,1,1,36,1,1,33,1,3,0,0,0,32.9375,0,16,12,4,8,7,1,1,2
32.5,2,4,35,1,3,37,1,1,30,1,2,42,1,1,32,1,1,38,1,1,40,1,3,41,1,2,29.36363636,1,22,18,4,10,9,1,2,1
20.5,2,4,31,1,3,28,2,1,30,1,2,40,1,1,36,1,1,35,1,1,34,1,3,0,0,0,22.66666667,2,21,11,10,10,6,4,2,1
27.5,2,4,46,1,3,28,2,1,40,1,2,19,2,1,43,1,1,40,1,1,43,1,3,0,0,0,26.68181818,3,22,10,12,11,5,6,2,1
29,2,4,25.5,2,3,28,2,1,30,1,2,42,1,1,24,3,1,40,1,1,26,2,3,0,0,0,16.01724138,6,29,4,25,14,3,11,2,1
16,1,4,8,1,3,25,1,1,16,1,2,25,1,1,18,1,1,34,1,1,11,1,3,0,0,0,15.9375,0,16,1,15,8,1,7,2,1
0,0,0,32.5,2,3,31.5,2,1,43,1,2,30,1,1,43,1,1,15.5,2,1,26,2,3,0,0,0,19.075,4,20,8,12,11,5,6,2,1
30,1,4,39,1,3,18,4,1,29,2,2,28,2,1,35,1,1,29,2,1,28,2,3,0,0,0,18.80769231,7,26,8,18,15,3,12,2,1
0,1,4,12,1,3,2,1,1,3,1,2,28,1,1,0,1,1,0,1,1,15,1,3,0,0,0,7.3125,0,16,0,16,8,0,8,2,1
33,1,4,41,1,3,38,1,1,30,1,2,42,1,1,36,1,1,37,1,1,27.5,2,3,0,0,0,28.97368421,1,19,13,6,9,7,2,2,1
20,1,4,13,1,3,15,1,1,19,1,2,30,1,1,17,1,1,26,1,1,11,1,3,0,0,0,17.375,0,16,1,15,8,1,7,2,1
21,1,4,22,1,3,37,1,1,16,1,2,27,1,1,29,1,1,41,1,1,16,1,3,0,0,0,22.75,0,16,2,14,8,2,6,2,1
34,1,4,31,1,3,16.5,2,1,23,2,2,42,1,1,0,1,1,42,1,1,32,1,3,0,0,0,24.81578947,2,19,12,7,10,5,5,2,1
0,1,4,11,1,3,8,1,1,3,1,2,0,1,1,0,1,1,9,1,1,14,1,3,0,0,0,6.125,0,16,0,16,8,0,8,2,1
