NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_FIS_TRES,VECES_FIS_TRES,CREDITOS_FIS_TRES,NOTA_CCON,VECES_CCON,CREDITOS_CCON,NOTA_PROB,VECES_PROB,CREDITOS_PROB,NOTA_GEOGEO,VECES_GEOGEO,CREDITOS_GEOGEO,NOTA_PRII,VECES_PRII,CREDITOS_PRII,NOTA_GHF,VECES_GHF,CREDITOS_GHF,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,ESTADO CUATRO,PROMEDIO_CINCO
40,1,2,41,1,3,46,1,1,37,1,2,31,1,3,44,1,3,38,1,3,0,17,17,0,7,7,0,1,1,37.44444444
44,1,2,40,1,3,44,1,1,37,1,2,42,1,3,37,1,3,39,1,3,0,17,17,0,7,7,0,1,1,37.66666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,3
39,1,2,43,1,3,37,1,1,45,1,2,30,1,3,42,1,3,34,1,3,0,17,17,0,7,7,0,1,1,39.11111111
45,1,2,36,2,3,35,1,1,32,2,2,35,1,3,35,1,3,35,1,3,2,17,17,0,7,7,0,1,1,36.44444444
46,1,2,40,1,3,40,1,1,46,1,2,41,2,3,47,1,3,37,1,3,1,17,17,0,7,7,0,1,1,40.55555556
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
37,1,2,43,1,3,39,1,1,36,1,2,37,1,3,33,1,3,39,1,3,0,17,17,0,7,7,0,1,1,34.83333333
36,1,2,30,1,3,30,1,1,30,1,2,35,1,3,39,1,3,30,1,3,0,17,17,0,7,7,0,1,1,32.94444444
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
32,1,2,36,2,3,41,1,1,30,1,2,37,2,3,36,1,3,35,1,3,2,17,17,0,7,7,0,1,1,36.55555556
45,1,2,34,1,3,44,1,1,37,1,2,30,1,3,39,1,3,42,1,3,0,17,17,0,7,7,0,1,1,37.44444444
39,1,2,34,1,3,42,1,1,39,1,2,38,1,3,32,1,3,35,2,3,1,17,17,0,7,7,0,1,1,34.88888889
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
40,1,2,36,1,3,41,1,1,37,1,2,39,1,3,31,1,3,34,1,3,0,17,17,0,7,7,0,1,1,38.11111111
42,1,2,35,1,3,37,1,1,36,2,2,34,1,3,34,1,3,43,1,3,1,17,17,0,7,7,0,1,1,34.88888889
45,1,2,35,1,3,44,1,1,37,1,2,30,1,3,41,1,3,43,1,3,0,17,17,0,7,7,0,1,1,41.16666667
0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0
37,1,2,40,1,3,44,1,1,43,1,2,37,1,3,35,1,3,43,1,3,0,17,17,0,7,7,0,1,1,38
