CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB
3,14,4,10,6,3,3,2,0.176470588,8.5,2,4,11.5,2,3,43,1,1,32,1,2,41,1,1,13,2,3
2,14,10,4,6,4,2,2,1.38235E+14,20,3,4,29.5,2,3,38,1,1,36,1,2,41,1,1,31,1,3
1,14,11,3,6,5,1,2,5.11765E+14,30,1,4,23,2,3,44,1,1,32,1,2,30,1,1,37,1,3
1,14,11,3,6,5,1,2,1.45882E+14,30,1,4,23.66666667,3,3,43,1,1,34,1,2,30,1,1,30,1,3
0,14,1,13,5,5,0,2,0,8,1,4,10,1,3,40,1,1,4,1,2,0,1,1,6,1,3
3,14,7,7,6,3,3,2,1.37941E+14,26,2,4,24,3,3,41,1,1,32,2,2,35,1,1,38,1,3
1,14,10,4,6,5,1,2,7.94118E+14,26.33333333,3,4,30,1,3,40,1,1,34,1,2,38,1,1,34,1,3
1,14,11,3,6,5,1,1,2.08235E+14,32,1,4,20,2,3,42,1,1,37,1,2,41,1,1,44,1,3
5,14,0,14,3,-2,5,2,0,1,2,4,0,2,3,1.5,2,1,0,1,2,0,3,1,6,3,3
1,14,10,4,6,5,1,2,1.13529E+14,15,2,4,32,1,3,44,1,1,39,1,2,42,1,1,33,1,3
0,14,14,0,6,6,0,1,2.94412E+14,35,1,4,40,1,3,39,1,1,36,1,2,43,1,1,43,1,3
2,14,7,7,6,4,2,2,7.94118E+14,22,3,4,26,2,3,43,1,1,37,1,2,33,1,1,37,1,3
1,14,14,0,6,5,1,1,2.83235E+14,33,1,4,30,1,3,44,1,1,44,1,2,40,1,1,37,2,3
1,14,10,4,6,5,1,1,1.05294E+14,27.5,2,4,37,1,3,41,1,1,39,1,2,42,1,1,36,1,3
0,14,14,0,6,6,0,1,3.54118E+14,30,1,4,41,1,3,44,1,1,44,1,2,39,1,1,47,1,3
2,14,7,7,6,4,2,2,1.11765E+14,23,2,4,26.5,2,3,40,1,1,32,1,2,37,1,1,30,1,3
4,14,2,12,6,2,4,2,0,2.666666667,3,4,5.333333333,3,3,39,1,1,12.5,2,2,35,1,1,3.333333333,3,3
3,14,4,10,6,3,3,2,7.94118E+14,23.66666667,3,4,23.33333333,3,3,44,1,1,32,1,2,32,1,1,26.66666667,3,3
1,14,11,3,6,5,1,1,9.14706E+14,31,1,4,21.33333333,3,3,43,1,1,39,1,2,37,1,1,36,1,3
0,14,14,0,6,6,0,1,3.30882E+14,40,1,4,34,1,3,50,1,1,41,1,2,42,1,1,45,1,3
0,14,14,0,6,6,0,1,3.63529E+14,33,1,4,36,1,3,44,1,1,46,1,2,42,1,1,42,1,3
4,14,6,8,3,-1,4,2,1.41176E+14,41,1,4,0,2,3,0,2,1,39,1,2,0,2,1,5,2,3
3,14,4,10,6,3,3,2,7.94118E+14,22.33333333,3,4,17.33333333,3,3,42,1,1,34,1,2,42,1,1,27.5,2,3
1,14,10,4,6,5,1,1,3.37941E+14,27,2,4,31,1,3,43,1,1,40,1,2,42,1,1,36,1,3
1,14,11,3,6,5,1,1,1.90294E+14,35,1,4,28,3,3,43,1,1,36,1,2,37,1,1,33,1,3
0,14,14,0,6,6,0,1,3.90588E+14,38,1,4,40,1,3,44,1,1,41,1,2,42,1,1,46,1,3
1,14,11,3,6,5,1,1,31,36,1,4,28.5,2,3,44,1,1,36,1,2,41,1,1,39,1,3
0,14,4,10,6,6,0,2,0,24,1,4,26,1,3,45,1,1,40,1,2,41,1,1,18,1,3
1,14,13,1,6,5,1,1,2.48824E+14,38,1,4,41,1,3,8,3,1,40,1,2,39,1,1,45,1,3
0,14,1,13,4,4,0,2,0,4,1,4,0,1,3,47,1,1,7,1,2,0,1,1,12,1,3
2,14,7,7,5,3,2,2,4.76471E+14,35,1,4,20.5,2,3,0,1,1,35,1,2,32,1,1,8,2,3
0,0,0,0,0,0,0,0,0,0,1,4,0,1,3,0,1,1,0,1,2,0,1,1,0,1,3
0,14,14,0,6,6,0,1,4.09412E+14,42,1,4,40,1,3,44,1,1,38,1,2,46,1,1,39,1,3
0,14,14,0,6,6,0,1,1.90588E+14,40,1,4,39,1,3,40,1,1,43,1,2,47,1,1,35,1,3
3,14,6,8,6,3,3,2,1.86176E+14,27.5,2,4,26.5,2,3,42,1,1,40,1,2,23,3,1,31,1,3
0,14,14,0,6,6,0,1,3.13529E+14,34,1,4,31,1,3,45,1,1,39,1,2,40,1,1,45,1,3
1,14,10,4,6,5,1,2,4.38235E+14,13.33333333,3,4,33,1,3,46,1,1,42,1,2,34,1,1,36,1,3
1,14,13,1,6,5,1,1,2.96765E+14,40,1,4,32,1,3,26.5,2,1,35,1,2,33,1,1,40,1,3
1,14,10,4,6,5,1,2,2.79412E+14,15,3,4,34,1,3,35,1,1,36,1,2,34,1,1,33,1,3
0,14,9,5,6,6,0,1,0,25,1,4,38,1,3,43,1,1,45,1,2,20,1,1,34,1,3
3,14,5,9,6,3,3,2,1.58824E+14,21,2,4,14,2,3,41,1,1,20.5,2,2,32,1,1,31,1,3
0,14,14,0,6,6,0,1,3.95294E+14,35,1,4,43,1,3,46,1,1,50,1,2,37,1,1,44,1,3
0,14,14,0,6,6,0,1,3.46471E+14,30,1,4,41,1,3,44,1,1,44,1,2,36,1,1,34,1,3
0,14,14,0,6,6,0,1,39,32,1,4,39,1,3,45,1,1,44,1,2,47,1,1,38,1,3
0,14,14,0,6,6,0,1,3.24118E+14,39,1,4,35,1,3,47,1,1,44,1,2,33,1,1,32,1,3
0,14,14,0,6,6,0,1,3.94118E+14,33,1,4,40,1,3,47,1,1,42,1,2,42,1,1,39,1,3
0,14,14,0,6,6,0,1,2.96176E+14,38,1,4,33,1,3,38,1,1,39,1,2,35,1,1,32,1,3
0,14,14,0,6,6,0,1,3.25294E+14,33,1,4,38,1,3,45,1,1,41,1,2,42,1,1,42,1,3
0,14,14,0,6,6,0,1,3.36471E+14,31,1,4,43,1,3,48,1,1,46,1,2,47,1,1,39,1,3
0,14,9,5,6,6,0,2,0,23,1,4,34,1,3,41,1,1,38,1,2,19,1,1,39,1,3
0,14,14,0,6,6,0,1,3.17647E+14,32,1,4,33,1,3,45,1,1,41,1,2,33,1,1,43,1,3
0,14,14,0,6,6,0,1,2.18529E+14,30,1,4,34,1,3,37,1,1,36,1,2,34,1,1,34,1,3
2,14,7,7,6,4,2,2,2.11765E+14,16.5,2,4,19,2,3,41,1,1,41,1,2,32,1,1,32,1,3
0,14,14,0,6,6,0,1,3.21765E+14,30,1,4,36,1,3,36,1,1,39,1,2,40,1,1,35,1,3
0,14,14,0,6,6,0,1,3.32059E+14,30,1,4,41,1,3,45,1,1,41,1,2,38,1,1,45,1,3
4,14,3,11,6,2,4,2,6.17647E+14,18.33333333,3,4,23,3,3,38,1,1,33,1,2,13.66666667,3,1,25,3,3
0,14,14,0,6,6,0,1,3.86471E+14,35,1,4,33,1,3,41,1,1,39,1,2,47,1,1,40,1,3
0,14,14,0,6,6,0,1,2.30588E+14,34,1,4,36,1,3,41,1,1,46,1,2,37,1,1,38,1,3
0,14,14,0,6,6,0,1,3.13824E+14,35,1,4,39,1,3,39,1,1,38,1,2,46,1,1,33,1,3
0,14,14,0,6,6,0,1,3.26471E+14,32,1,4,30,1,3,37,1,1,37,1,2,39,1,1,35,1,3
1,14,14,0,6,5,1,1,3.59412E+14,32,2,4,35,1,3,45,1,1,43,1,2,35,1,1,32,1,3
0,14,14,0,6,6,0,1,2.99412E+14,32,1,4,30,1,3,41,1,1,38,1,2,38,1,1,41,1,3
1,14,11,3,6,5,1,1,2.45588E+14,35,1,4,27.66666667,3,3,44,1,1,40,1,2,45,1,1,30,1,3
0,14,14,0,6,6,0,1,2.93235E+14,33,1,4,37,1,3,42,1,1,37,1,2,39,1,1,37,1,3
0,14,14,0,6,6,0,1,3.13824E+14,30,1,4,35,1,3,46,1,1,47,1,2,34,1,1,37,1,3
0,14,10,4,6,6,0,1,0,27,1,4,33,1,3,41,1,1,39,1,2,41,1,1,34,1,3
2,14,11,3,6,4,2,1,3.07941E+14,33,2,4,27,3,3,45,1,1,40,1,2,34,1,1,44,1,3
0,0,0,0,0,0,0,0,0,0,1,4,0,1,3,0,1,1,0,1,2,0,1,1,0,1,3
