GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
0;0;8;0;0;0;433.07;70.42;70.42;54.33;60.46;70.86;70.86;44.37;0;46.47;49.51;8;3;10;3;2008;
0;1;10;1;20;5;423.89;69.93;69.93;67.96;50.18;44.61;44.61;53.42;0;48.67;59.92;20;3;10;3;2008;2
0;0;20;0;0;0;481.06;74.44;74.44;64.43;56.01;62.18;62.18;57.44;0;51.72;45.2;7;6;10;2;2008;2
0;0;13;0;0;0;463.88;66.94;66.94;64.28;53.85;49.27;49.27;56.37;0;62.45;44.34;10;3;10;2;2008;2
0;2;20;1;56;7;495.38;75.27;75.27;76.74;65.59;57.32;57.32;60.25;0;48.41;73.83;10;5;10;2;2008;2
0;1;20;1;218;7;475.57;62.84;62.84;53.97;55.66;57.14;57.14;59.24;0;53.94;69.4;8;6;10;2;2008;2
0;0;8;0;0;0;476.04;79.12;79.12;54.33;60.21;62.45;62.45;46.57;0;54.32;51.23;11;3;10;3;2008;2
0;0;11;0;0;0;436.01;74.44;74.44;56.8;54.13;62.18;62.18;49.7;0;56.96;42.2;18;5;10;2;2008;2
0;2;20;1;41;15;459.4;72.55;72.55;58.93;50.66;61.76;61.76;65.0;0;46.04;83.41;12;6;10;2;2008;2
0;1;8;1;20;5;441.84;60.49;60.49;61.41;48.97;59.48;59.48;49.87;0;46.04;57.13;11;3;10;3;2008;2
0;0;16;0;0;0;540.14;95.12;95.12;66.96;57.89;57.87;57.87;62.33;0;72.07;54.31;8;5;10;2;2008;2
0;2;10;1;20;5;438.22;55.71;55.71;64.0;55.7;59.48;59.48;65.0;0;48.41;61.22;8;5;10;3;2008;
0;1;2;1;20;5;450.35;67.54;67.54;54.12;50.66;59.48;59.48;49.87;0;53.1;48.43;16;5;6;2;2008;1
0;1;20;1;95;7;480.7;69.99;69.99;58.93;55.7;59.48;59.48;60.25;0;43.59;53.32;15;3;10;1;2008;1
0;2;11;1;20;5;432.1;62.82;62.82;58.93;47.22;64.21;64.21;58.09;0;43.59;47.21;2;5;10;3;2008;1
0;0;20;0;0;0;432.4;75.27;75.27;56.51;45.4;51.21;51.21;49.87;0;46.04;57.13;6;5;10;2;2008;
0;1;8;1;20;5;445.43;57.98;57.98;65.58;58.12;49.09;49.09;64.49;0;52.99;43.4;9;3;10;2;2008;2
0;2;11;1;20;5;471.14;64.88;64.88;58.7;55.96;59.42;59.42;60.55;0;59.52;48.92;20;5;10;3;2008;2
0;0;20;0;0;0;473.9;80.56;80.56;73.78;53.49;50.26;50.26;61.64;0;53.91;56.44;8;6;10;2;2008;1
1;2;1;1;20;5;456.07;62.82;62.82;56.51;65.59;57.32;57.32;55.99;0;46.04;64.23;9;3;10;3;2008;2
0;2;12;1;20;5;496.58;72.55;72.55;66.74;54.01;59.48;59.48;65.0;0;46.04;69.48;5;2;10;3;2008;2
0;0;14;0;0;0;469.39;69.99;69.99;58.93;54.01;57.32;57.32;58.09;0;55.47;65.86;10;3;10;2;2008;2
0;2;8;1;20;5;430.82;67.54;67.54;56.51;50.66;64.21;64.21;49.87;0;48.41;79.55;20;3;10;2;2008;2
