NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_COMDIG,VECES_COMDIG,CREDITOS_COMDIG,NOTA_FDS,VECES_FDS,CREDITOS_FDS,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_SISDIN,VECES_SISDIN,CREDITOS_SISDIN,NOTA_ELECPOT,VECES_ELECPOT,CREDITOS_ELECPOT,NOTA_ECO,VECES_ECO,CREDITOS_ECO,CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,16.66666667,3,2,1,15,0,15,1,0,1,2,4125
0,0,2,37,1,3,30,1,2,0,0,1,30,1,2,31,1,3,40,1,2,0,15,12,3,5,5,0,1,34375
0,0,2,31,1,3,27,2,2,0,0,1,30,2,2,30,1,3,33,1,2,2,15,10,5,5,3,2,1,38625
0,0,2,0,0,3,0,0,2,0,0,1,30.5,2,2,0,0,3,0,0,2,1,15,2,13,1,0,1,2,0
0,0,2,38,1,3,30,1,2,0,0,1,34,1,2,37,1,3,33,1,2,0,15,12,3,5,5,0,1,344375
0,0,2,0,0,3,22.66666667,3,2,0,0,1,30,1,2,0,0,3,0,0,2,1,15,2,13,2,1,1,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,32,1,2,0,15,2,13,1,1,0,2,0
0,0,2,39,1,3,40,1,2,0,0,1,30,1,2,35,1,3,39,1,2,0,15,12,3,5,5,0,1,40625
0,0,2,26,1,3,23.5,2,2,0,0,1,15,3,2,0,0,3,29.5,2,2,3,15,2,13,4,1,3,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,42,1,3,30,1,2,0,0,1,30,1,2,40,1,3,33,1,2,0,15,12,3,5,5,0,1,38.25
0,0,2,37,1,3,30,1,2,0,0,1,35,1,2,34,1,3,31,1,2,0,15,12,3,5,5,0,1,394375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,39,1,3,27.5,2,2,0,0,1,30,1,2,15.66666667,3,3,35,1,2,2,15,7,8,5,3,2,2,39
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,42,1,3,38,1,2,0,0,1,30,1,2,36,1,3,34,1,2,0,15,12,3,5,5,0,1,42.25
0,0,2,0,0,3,0,0,2,0,0,1,30,1,2,0,0,3,0,0,2,0,15,2,13,1,1,0,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,43,1,2,0,0,1,35,1,2,48,1,3,47,1,2,0,15,12,3,5,5,0,1,43375
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
