CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
0,17,13,4,5,5,0,2,3.70833E+14,0,0,2,0,0,2,30,1,2,36,1,3,35,1,3,30,1,2,30,1,3
1,17,6,11,2,1,1,2,2.41667E+14,0,0,2,0,0,2,0,0,2,0,0,3,30,2,3,0,0,2,35,1,3
1,17,11,6,5,4,1,2,4.01667E+14,0,0,2,0,0,2,22.5,2,2,39,1,3,30,1,3,30,1,2,30,1,3
0,17,13,4,5,5,0,2,3.78333E+14,0,0,2,0,0,2,30,1,2,36,1,3,35,1,3,40,1,2,35,1,3
3,17,11,6,5,2,3,2,3.83333E+14,0,0,2,0,0,2,22.5,2,2,36,1,3,32.5,2,3,35,1,2,35,2,3
1,17,11,6,5,4,1,2,3.74167E+14,0,0,2,0,0,2,25,2,2,36,1,3,40,1,3,30,1,2,35,1,3
1,17,11,6,5,4,1,2,38.5,0,0,2,0,0,2,26.66666667,3,2,30,1,3,45,1,3,30,1,2,35,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
2,17,6,11,2,0,2,2,1.94444E+14,0,0,2,0,0,2,0,0,2,0,0,3,30,2,3,0,0,2,32.5,2,3
1,17,0,17,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,15.66666667,3,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,0,17,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,25,2,3,0,0,2,0,0,3
2,17,13,4,5,3,2,2,40,0,0,2,0,0,2,30,2,2,35,2,3,35,1,3,30,1,2,30,1,3
1,17,0,17,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,9,5,3,0,0,2,0,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,3,14,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,3,30,2,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,15,2,6,5,1,2,4.03333E+14,35,1,2,0,0,2,30,2,2,30,1,3,40,1,3,30,1,2,35,1,3
0,17,3,14,1,1,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,35,1,3,0,0,2,0,0,3
