NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1752;27.576923076923077;36.0;32.0;0.0;37.76470588235294;37.0;33.0;0;27.642857142857142;31.0;36.0;0.0;31.5;0.0;36.4;0;9;9;0;4;4;0;1;0.0;0;2;0.0;0;3;0.0;0;1;42.0;1;2;40.0;1;2;38.0;1;3;43.0;1;2;0;0;2;1;0.0
1753;31.211111111111112;33.233333333333334;34.0;0.0;28.41176470588235;9.666666666666666;31.0;0;32.583333333333336;0.0;29.5;0.0;34.0;31.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;1;0.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;1;0.0
1759;36.7;38.294117647058826;41.0;49.0;36.470588235294116;33.0;36.0;0;39.05882352941177;31.0;47.0;45.0;42.0;46.0;38.8235294117647;0;17;17;0;8;8;0;1;35.0;1;2;37.0;1;3;48.0;1;1;44.0;1;2;44.0;1;2;35.0;1;3;35.0;1;2;40;1;2;2;38.6
1762;35.15384615384615;34.96666666666667;33.0;0.0;36.411764705882355;36.0;33.0;0;36.266666666666666;35.0;39.0;0.0;41.0;39.0;31.166666666666668;0;5;5;0;3;3;0;1;36.0;1;2;0.0;0;3;43.0;1;1;36.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;2;32.75
1763;35.666666666666664;39.05882352941177;33.0;46.0;36.05882352941177;35.0;37.0;0;37.1764705882353;35.0;37.0;36.0;46.0;30.0;34.7;1;13;10;3;5;4;1;1;35.0;1;2;28.0;2;3;37.0;1;1;35.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;43;1;2;2;31.6
1764;35.833333333333336;31.266666666666666;38.0;0.0;29.941176470588236;23.5;30.5;0;37.26470588235294;33.5;32.0;43.0;43.0;38.0;29.375;0;7;7;0;3;3;0;2;36.0;1;2;31.0;1;3;0.0;0;1;35.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;2;35.125
1766;34.7;33.333333333333336;35.0;0.0;33.05882352941177;31.0;0.0;0;34.4;32.0;36.0;0.0;36.0;44.0;37.625;0;8;8;0;4;4;0;1;0.0;0;2;33.0;1;3;46.0;1;1;36.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;42;1;2;2;35.0
1770;32.53333333333333;33.11764705882353;33.0;45.0;33.76470588235294;38.0;34.0;0;35.05882352941177;30.0;30.0;41.0;35.0;43.0;32.6875;0;15;15;0;7;7;0;1;33.0;1;2;30.0;1;3;46.0;1;1;30.0;1;2;34.0;1;2;37.0;1;3;41.0;1;2;0;0;2;2;35.75
1771;34.6;37.8;39.0;0.0;37.88235294117647;39.0;43.0;0;34.94117647058823;30.0;33.0;43.0;33.0;43.0;37.705882352941174;0;17;17;0;8;8;0;1;40.0;1;2;39.0;1;3;39.0;1;1;34.0;1;2;36.0;1;2;39.0;1;3;35.0;1;2;39;1;2;2;37.083333333333336
1774;26.76923076923077;34.766666666666666;31.0;0.0;34.470588235294116;38.0;29.5;0;30.428571428571427;25.0;30.0;0.0;36.0;36.0;26.928571428571427;1;9;6;3;3;2;1;2;0.0;0;2;26.5;2;3;47.0;1;1;31.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;2;30.4
1776;34.8;40.23529411764706;34.0;40.0;38.02777777777778;41.0;32.0;48;34.970588235294116;30.0;30.0;45.0;37.0;41.0;34.166666666666664;0;12;12;0;6;6;0;1;30.0;1;2;30.0;1;3;38.0;1;1;33.0;1;2;33.0;1;2;0.0;0;3;0.0;0;2;45;1;2;2;37.1
1777;34.266666666666666;38.26470588235294;34.0;46.0;36.35294117647059;39.0;34.0;0;33.857142857142854;32.0;30.0;0.0;35.0;40.0;33.294117647058826;2;22;17;5;8;6;2;1;35.0;1;2;22.0;2;3;44.0;1;1;27.0;2;2;32.0;1;2;40.0;1;3;33.0;1;2;41;1;2;2;36.75
